cnn only run
iters per epoch: 50
number of epochs 200

Accuracy (0): 0.119
Accuracy (1): 0.119
Accuracy (2): 0.119
Accuracy (3): 0.204
Accuracy (4): 0.385
Accuracy (5): 0.438
Accuracy (6): 0.51
Accuracy (7): 0.53
Accuracy (8): 0.558
Accuracy (9): 0.578
Accuracy (10): 0.596
Accuracy (11): 0.61
Accuracy (12): 0.624
Accuracy (13): 0.632
Accuracy (14): 0.645
Accuracy (15): 0.66
Accuracy (16): 0.665
Accuracy (17): 0.674
Accuracy (18): 0.68
Accuracy (19): 0.694
Accuracy (20): 0.706
Accuracy (21): 0.719
Accuracy (22): 0.723
Accuracy (23): 0.726
Accuracy (24): 0.722
Accuracy (25): 0.724
Accuracy (26): 0.733
Accuracy (27): 0.735
Accuracy (28): 0.744
Accuracy (29): 0.745
Accuracy (30): 0.751
Accuracy (31): 0.75
Accuracy (32): 0.759
Accuracy (33): 0.76
Accuracy (34): 0.768
Accuracy (35): 0.772
Accuracy (36): 0.768
Accuracy (37): 0.779
Accuracy (38): 0.777
Accuracy (39): 0.777
Accuracy (40): 0.783
Accuracy (41): 0.788
Accuracy (42): 0.791
Accuracy (43): 0.794
Accuracy (44): 0.785
Accuracy (45): 0.794
Accuracy (46): 0.793
Accuracy (47): 0.797
Accuracy (48): 0.797
Accuracy (49): 0.793
Accuracy (50): 0.802
Accuracy (51): 0.79
Accuracy (52): 0.794
Accuracy (53): 0.794
Accuracy (54): 0.797
Accuracy (55): 0.799
Accuracy (56): 0.795
Accuracy (57): 0.798
Accuracy (58): 0.798
Accuracy (59): 0.797
Accuracy (60): 0.794
Accuracy (61): 0.794
Accuracy (62): 0.803
Accuracy (63): 0.795
Accuracy (64): 0.795
Accuracy (65): 0.792
Accuracy (66): 0.795
Accuracy (67): 0.797
Accuracy (68): 0.791
Accuracy (69): 0.802
Accuracy (70): 0.797
Accuracy (71): 0.794
Accuracy (72): 0.798
Accuracy (73): 0.795
Accuracy (74): 0.797
Accuracy (75): 0.803
Accuracy (76): 0.799
Accuracy (77): 0.798
Accuracy (78): 0.801
Accuracy (79): 0.802
Accuracy (80): 0.794
Accuracy (81): 0.799
Accuracy (82): 0.801
Accuracy (83): 0.799
Accuracy (84): 0.793
Accuracy (85): 0.796
Accuracy (86): 0.796
Accuracy (87): 0.799
Accuracy (88): 0.797
Accuracy (89): 0.797
Accuracy (90): 0.799
Accuracy (91): 0.793
Accuracy (92): 0.796
Accuracy (93): 0.8
Accuracy (94): 0.796
Accuracy (95): 0.796
Accuracy (96): 0.801
Accuracy (97): 0.802
Accuracy (98): 0.799
Accuracy (99): 0.796
Accuracy (100): 0.803
Accuracy (101): 0.793
Accuracy (102): 0.804
Accuracy (103): 0.802
Accuracy (104): 0.798
Accuracy (105): 0.794
Accuracy (106): 0.796
Accuracy (107): 0.8
Accuracy (108): 0.799
Accuracy (109): 0.8
Accuracy (110): 0.796
Accuracy (111): 0.799
Accuracy (112): 0.8
Accuracy (113): 0.802
Accuracy (114): 0.798
Accuracy (115): 0.795
Accuracy (116): 0.802
Accuracy (117): 0.799
Accuracy (118): 0.799
Accuracy (119): 0.8
Accuracy (120): 0.796
Accuracy (121): 0.802
Accuracy (122): 0.802
Accuracy (123): 0.799
Accuracy (124): 0.792
Accuracy (125): 0.792
Accuracy (126): 0.796
Accuracy (127): 0.796
Accuracy (128): 0.795
Accuracy (129): 0.802
Accuracy (130): 0.801
Accuracy (131): 0.802
Accuracy (132): 0.797
Accuracy (133): 0.8
Accuracy (134): 0.802
Accuracy (135): 0.805
Accuracy (136): 0.799
Accuracy (137): 0.802
Accuracy (138): 0.805
Accuracy (139): 0.805
Accuracy (140): 0.805
Accuracy (141): 0.8
Accuracy (142): 0.801
Accuracy (143): 0.795
Accuracy (144): 0.803
Accuracy (145): 0.799
Accuracy (146): 0.801
Accuracy (147): 0.802
Accuracy (148): 0.801
Accuracy (149): 0.803
Accuracy (150): 0.8
Accuracy (151): 0.801
Accuracy (152): 0.806
Accuracy (153): 0.804
Accuracy (154): 0.804
Accuracy (155): 0.804
Accuracy (156): 0.807
Accuracy (157): 0.808
Accuracy (158): 0.8
Accuracy (159): 0.805
Accuracy (160): 0.804
Accuracy (161): 0.801
Accuracy (162): 0.801
Accuracy (163): 0.804
Accuracy (164): 0.809
Accuracy (165): 0.814
Accuracy (166): 0.804
Accuracy (167): 0.801
Accuracy (168): 0.795
Accuracy (169): 0.795
Accuracy (170): 0.807
Accuracy (171): 0.809
Accuracy (172): 0.802
Accuracy (173): 0.819
Accuracy (174): 0.794
Accuracy (175): 0.806
Accuracy (176): 0.809
Accuracy (177): 0.806
Accuracy (178): 0.806
Accuracy (179): 0.806
Accuracy (180): 0.804
Accuracy (181): 0.809
Accuracy (182): 0.809
Accuracy (183): 0.804
Accuracy (184): 0.803
Accuracy (185): 0.805
Accuracy (186): 0.807
Accuracy (187): 0.806
Accuracy (188): 0.805
Accuracy (189): 0.807
Accuracy (190): 0.811
Accuracy (191): 0.81
Accuracy (192): 0.811
Accuracy (193): 0.806
Accuracy (194): 0.812
Accuracy (195): 0.806
Accuracy (196): 0.797
Accuracy (197): 0.794
Accuracy (198): 0.804
Accuracy (199): 0.806
Predicted   0    1    2   3   4   5   6    7   8    9   All
Actual                                                     
0          73    2    4   2   0   1   3    1   2    3    91
1           0  114    1   2   1   0   1    2   3    1   125
2           0    3   91   2   1   0   2    2   2    1   104
3           3    4    9  70   2   4   1    4   3    1   101
4           1    2    0   0  75   0   2    4   1   11    96
5           5    3    2   5   1  69   3    3   4    7   102
6           1    1    3   1   2   1  64    0   3    0    76
7           0    3    7   2   0   0   0   84   1    2    99
8           1    5    1   4   2   4   2    7  63    6    95
9           1    1    2   1   5   4   1    4   4   88   111
All        85  138  120  89  89  83  79  111  86  120  1000

correctly predicted 791
out of 1000

Indices of wrong images: [3, 5, 6, 13, 15, 19, 25, 35, 43, 51, 55, 60, 64, 68, 70, 75, 85, 88, 89, 94, 96, 98, 99, 104, 107, 109, 121, 123, 124, 125, 128, 132, 135, 137, 138, 140, 152, 168, 169, 171, 183, 185, 189, 190, 192, 197, 209, 212, 215, 216, 217, 219, 226, 227, 230, 235, 237, 249, 256, 269, 285, 287, 296, 300, 306, 311, 316, 319, 323, 326, 327, 337, 340, 343, 346, 352, 353, 359, 362, 369, 384, 395, 396, 403, 412, 413, 416, 417, 418, 420, 426, 429, 430, 432, 441, 446, 466, 468, 473, 477, 482, 484, 486, 488, 494, 501, 505, 507, 511, 515, 520, 524, 530, 536, 542, 558, 566, 572, 573, 576, 578, 579, 581, 583, 586, 590, 606, 608, 626, 628, 629, 630, 633, 644, 645, 646, 647, 649, 654, 657, 663, 672, 675, 681, 688, 695, 698, 710, 712, 716, 717, 730, 732, 735, 739, 745, 746, 749, 750, 752, 762, 773, 778, 779, 780, 786, 789, 791, 792, 800, 806, 809, 810, 818, 823, 825, 836, 839, 841, 859, 874, 875, 878, 880, 883, 894, 904, 905, 915, 919, 922, 929, 939, 942, 943, 944, 954, 956, 957, 961, 962, 972, 976, 978, 980, 985, 989, 994, 998]
