cnn only run
iters per epoch: 50
number of epochs 500

Accuracy (244): 0.83
Accuracy (245): 0.826
Accuracy (246): 0.83
Accuracy (247): 0.819
Accuracy (248): 0.82
Accuracy (249): 0.827
Accuracy (250): 0.828
Accuracy (251): 0.827
Accuracy (252): 0.827
Accuracy (253): 0.82
Accuracy (254): 0.832
Accuracy (255): 0.827
Accuracy (256): 0.828
Accuracy (257): 0.826
Accuracy (258): 0.827
Accuracy (259): 0.827
Accuracy (260): 0.825
Accuracy (261): 0.826
Accuracy (262): 0.84
Accuracy (263): 0.827
Accuracy (264): 0.828
Accuracy (265): 0.819
Accuracy (266): 0.816
Accuracy (267): 0.819
Accuracy (268): 0.824
Accuracy (269): 0.819
Accuracy (270): 0.824
Accuracy (271): 0.824
Accuracy (272): 0.824
Accuracy (273): 0.828
Accuracy (274): 0.817
Accuracy (275): 0.834
Accuracy (276): 0.821
Accuracy (277): 0.824
Accuracy (278): 0.83
Accuracy (279): 0.819
Accuracy (280): 0.829
Accuracy (281): 0.832
Accuracy (282): 0.826
Accuracy (283): 0.817
Accuracy (284): 0.827
Accuracy (285): 0.827
Accuracy (286): 0.817
Accuracy (287): 0.825
Accuracy (288): 0.816
Accuracy (289): 0.831
Accuracy (290): 0.827
Accuracy (291): 0.829
Accuracy (292): 0.84
Accuracy (293): 0.822
Accuracy (294): 0.822
Accuracy (295): 0.829
Accuracy (296): 0.827
Accuracy (297): 0.808
Accuracy (298): 0.832
Accuracy (299): 0.814
Accuracy (300): 0.819
Accuracy (301): 0.83
Accuracy (302): 0.825
Accuracy (303): 0.835
Accuracy (304): 0.823
Accuracy (305): 0.819
Accuracy (306): 0.823
Accuracy (307): 0.838
Accuracy (308): 0.824
Accuracy (309): 0.821
Accuracy (310): 0.823
Accuracy (311): 0.822
Accuracy (312): 0.826
Accuracy (313): 0.831
Accuracy (314): 0.816
Accuracy (315): 0.823
Accuracy (316): 0.826
Accuracy (317): 0.828
Accuracy (318): 0.83
Accuracy (319): 0.826
Accuracy (320): 0.832
Accuracy (321): 0.815
Accuracy (322): 0.825
Accuracy (323): 0.819
Accuracy (324): 0.823
Accuracy (325): 0.825
Accuracy (326): 0.833
Accuracy (327): 0.826
Accuracy (328): 0.818
Accuracy (329): 0.826
Accuracy (330): 0.82
Accuracy (331): 0.819
Accuracy (332): 0.82
Accuracy (333): 0.823
Accuracy (334): 0.822
Accuracy (335): 0.814
Accuracy (336): 0.823
Accuracy (337): 0.821
Accuracy (338): 0.824
Accuracy (339): 0.827
Accuracy (340): 0.816
Accuracy (341): 0.828
Accuracy (342): 0.83
Accuracy (343): 0.835
Accuracy (344): 0.829
Accuracy (345): 0.824
Accuracy (346): 0.817
Accuracy (347): 0.822
Accuracy (348): 0.819
Accuracy (349): 0.823
Accuracy (350): 0.816
Accuracy (351): 0.833
Accuracy (352): 0.822
Accuracy (353): 0.825
Accuracy (354): 0.815
Accuracy (355): 0.831
Accuracy (356): 0.83
Accuracy (357): 0.832
Accuracy (358): 0.826
Accuracy (359): 0.826
Accuracy (360): 0.828
