cnn only run
iters per epoch: 50
number of epochs 500

Accuracy (0): 0.119
Accuracy (1): 0.182
Accuracy (2): 0.344
Accuracy (3): 0.413
Accuracy (4): 0.464
Accuracy (5): 0.501
Accuracy (6): 0.562
Accuracy (7): 0.611
Accuracy (8): 0.639
Accuracy (9): 0.669
Accuracy (10): 0.685
Accuracy (11): 0.727
Accuracy (12): 0.744
Accuracy (13): 0.752
Accuracy (14): 0.762
Accuracy (15): 0.784
Accuracy (16): 0.791
Accuracy (17): 0.798
Accuracy (18): 0.807
Accuracy (19): 0.818
Accuracy (20): 0.822
Accuracy (21): 0.826
Accuracy (22): 0.825
Accuracy (23): 0.822
Accuracy (24): 0.828
Accuracy (25): 0.835
Accuracy (26): 0.837
Accuracy (27): 0.833
Accuracy (28): 0.826
Accuracy (29): 0.837
Accuracy (30): 0.839
Accuracy (31): 0.829
Accuracy (32): 0.838
Accuracy (33): 0.835
Accuracy (34): 0.831
Accuracy (35): 0.835
Accuracy (36): 0.838
Accuracy (37): 0.836
Accuracy (38): 0.837
Accuracy (39): 0.837
Accuracy (40): 0.841
Accuracy (41): 0.842
Accuracy (42): 0.847
Accuracy (43): 0.845
Accuracy (44): 0.847
Accuracy (45): 0.841
Accuracy (46): 0.839
Accuracy (47): 0.833
Accuracy (48): 0.833
Accuracy (49): 0.834
Accuracy (50): 0.831
Accuracy (51): 0.827
Accuracy (52): 0.832
Accuracy (53): 0.826
Accuracy (54): 0.826
Accuracy (55): 0.825
Accuracy (56): 0.831
Accuracy (57): 0.83
Accuracy (58): 0.836
Accuracy (59): 0.839
Accuracy (60): 0.837
Accuracy (61): 0.842
Accuracy (62): 0.844
Accuracy (63): 0.843
Accuracy (64): 0.841
Accuracy (65): 0.834
Accuracy (66): 0.839
Accuracy (67): 0.835
Accuracy (68): 0.836
Accuracy (69): 0.842
Accuracy (70): 0.841
Accuracy (71): 0.835
Accuracy (72): 0.848
Accuracy (73): 0.84
Accuracy (74): 0.837
Accuracy (75): 0.844
Accuracy (76): 0.848
Accuracy (77): 0.835
Accuracy (78): 0.852
Accuracy (79): 0.843
Accuracy (80): 0.841
Accuracy (81): 0.845
Accuracy (82): 0.844
Accuracy (83): 0.842
Accuracy (84): 0.847
Accuracy (85): 0.843
Accuracy (86): 0.844
Accuracy (87): 0.834
Accuracy (88): 0.838
Accuracy (89): 0.837
Accuracy (90): 0.842
Accuracy (91): 0.837
Accuracy (92): 0.836
Accuracy (93): 0.841
Accuracy (94): 0.839
Accuracy (95): 0.848
Accuracy (96): 0.84
Accuracy (97): 0.837
Accuracy (98): 0.842
Accuracy (99): 0.841
Accuracy (100): 0.841
Accuracy (101): 0.842
Accuracy (102): 0.856
Accuracy (103): 0.849
Accuracy (104): 0.845
Accuracy (105): 0.84
Accuracy (106): 0.833
Accuracy (107): 0.845
Accuracy (108): 0.83
Accuracy (109): 0.839
Accuracy (110): 0.84
Accuracy (111): 0.84
Accuracy (112): 0.84
Accuracy (113): 0.846
Accuracy (114): 0.832
Accuracy (115): 0.824
Accuracy (116): 0.837
Accuracy (117): 0.842
Accuracy (118): 0.854
Accuracy (119): 0.84
Accuracy (120): 0.849
Accuracy (121): 0.849
Accuracy (122): 0.837
Accuracy (123): 0.837
Accuracy (124): 0.834
Accuracy (125): 0.833
Accuracy (126): 0.833
Accuracy (127): 0.84
Accuracy (128): 0.836
Accuracy (129): 0.837
Accuracy (130): 0.84
Accuracy (131): 0.841
Accuracy (132): 0.833
Accuracy (133): 0.856
Accuracy (134): 0.84
Accuracy (135): 0.842
Accuracy (136): 0.851
Accuracy (137): 0.849
Accuracy (138): 0.836
Accuracy (139): 0.835
Accuracy (140): 0.843
Accuracy (141): 0.846
Accuracy (142): 0.849
Accuracy (143): 0.845
Accuracy (144): 0.847
Accuracy (145): 0.847
Accuracy (146): 0.846
Accuracy (147): 0.853
Accuracy (148): 0.848
Accuracy (149): 0.846
Accuracy (150): 0.843
Accuracy (151): 0.839
Accuracy (152): 0.845
Accuracy (153): 0.847
Accuracy (154): 0.854
Accuracy (155): 0.846
Accuracy (156): 0.837
Accuracy (157): 0.842
Accuracy (158): 0.838
Accuracy (159): 0.844
Accuracy (160): 0.84
Accuracy (161): 0.841
Accuracy (162): 0.846
Accuracy (163): 0.833
Accuracy (164): 0.849
Accuracy (165): 0.821
Accuracy (166): 0.841
Accuracy (167): 0.848
Accuracy (168): 0.849
Accuracy (169): 0.846
Accuracy (170): 0.84
Accuracy (171): 0.838
Accuracy (172): 0.848
Accuracy (173): 0.844
Accuracy (174): 0.845
Accuracy (175): 0.831
Accuracy (176): 0.85
Accuracy (177): 0.846
Accuracy (178): 0.841
Accuracy (179): 0.843
Accuracy (180): 0.841
Accuracy (181): 0.839
Accuracy (182): 0.84
Accuracy (183): 0.845
Accuracy (184): 0.846
Accuracy (185): 0.855
Accuracy (186): 0.842
Accuracy (187): 0.847
Accuracy (188): 0.841
Accuracy (189): 0.848
Accuracy (190): 0.834
Accuracy (191): 0.845
Accuracy (192): 0.847
Accuracy (193): 0.849
Accuracy (194): 0.832
Accuracy (195): 0.831
Accuracy (196): 0.833
Accuracy (197): 0.838
Accuracy (198): 0.852
Accuracy (199): 0.851
Accuracy (200): 0.84
Accuracy (201): 0.839
Accuracy (202): 0.835
Accuracy (203): 0.83
Accuracy (204): 0.842
Accuracy (205): 0.836
Accuracy (206): 0.845
Accuracy (207): 0.842
Accuracy (208): 0.843
Accuracy (209): 0.84
Accuracy (210): 0.847
Accuracy (211): 0.837
Accuracy (212): 0.845
Accuracy (213): 0.843
Accuracy (214): 0.835
Accuracy (215): 0.834
Accuracy (216): 0.831
Accuracy (217): 0.841
Accuracy (218): 0.844
Accuracy (219): 0.847
Accuracy (220): 0.846
Accuracy (221): 0.836
Accuracy (222): 0.846
Accuracy (223): 0.835
Accuracy (224): 0.83
Accuracy (225): 0.844
Accuracy (226): 0.841
Accuracy (227): 0.843
Accuracy (228): 0.838
Accuracy (229): 0.843
Accuracy (230): 0.829
Accuracy (231): 0.839
Accuracy (232): 0.839
Accuracy (233): 0.842
Accuracy (234): 0.84
Accuracy (235): 0.842
Accuracy (236): 0.85
Accuracy (237): 0.848
Accuracy (238): 0.847
Accuracy (239): 0.842
Accuracy (240): 0.836
Accuracy (241): 0.847
Accuracy (242): 0.844
Accuracy (243): 0.84
Accuracy (244): 0.842
Accuracy (245): 0.845
Accuracy (246): 0.833
Accuracy (247): 0.84
Accuracy (248): 0.841
Accuracy (249): 0.833
Accuracy (250): 0.839
Accuracy (251): 0.845
Accuracy (252): 0.836
Accuracy (253): 0.839
Accuracy (254): 0.837
Accuracy (255): 0.834
Accuracy (256): 0.844
