cnn only run
Accuracy (257): 0.843
Accuracy (258): 0.849
Accuracy (259): 0.843
Accuracy (260): 0.837
Accuracy (261): 0.831
Accuracy (262): 0.836
Accuracy (263): 0.84
Accuracy (264): 0.838
Accuracy (265): 0.845
Accuracy (266): 0.835
Accuracy (267): 0.842
Accuracy (268): 0.845
Accuracy (269): 0.84
Accuracy (270): 0.835
Accuracy (271): 0.839
Accuracy (272): 0.843
Accuracy (273): 0.839
Accuracy (274): 0.836
Accuracy (275): 0.837
Accuracy (276): 0.847
Accuracy (277): 0.843
Accuracy (278): 0.834
Accuracy (279): 0.843
Accuracy (280): 0.843
Accuracy (281): 0.828
Accuracy (282): 0.836
Accuracy (283): 0.83
Accuracy (284): 0.832
Accuracy (285): 0.842
Accuracy (286): 0.847
Accuracy (287): 0.838
Accuracy (288): 0.842
Accuracy (289): 0.835
Accuracy (290): 0.842
Accuracy (291): 0.842
Accuracy (292): 0.845
Accuracy (293): 0.836
Accuracy (294): 0.838
Accuracy (295): 0.842
Accuracy (296): 0.835
Accuracy (297): 0.834
Accuracy (298): 0.839
Accuracy (299): 0.841
Accuracy (300): 0.837
Accuracy (301): 0.84
Accuracy (302): 0.837
Accuracy (303): 0.832
Accuracy (304): 0.833
Accuracy (305): 0.84
Accuracy (306): 0.85
Accuracy (307): 0.838
Accuracy (308): 0.839
Accuracy (309): 0.837
Accuracy (310): 0.842
Accuracy (311): 0.845
Accuracy (312): 0.842
Accuracy (313): 0.839
Accuracy (314): 0.833
Accuracy (315): 0.834
Accuracy (316): 0.842
Accuracy (317): 0.84
Accuracy (318): 0.839
Accuracy (319): 0.838
Accuracy (320): 0.832
Accuracy (321): 0.834
Accuracy (322): 0.821
Accuracy (323): 0.832
Accuracy (324): 0.833
Accuracy (325): 0.838
Accuracy (326): 0.848
Accuracy (327): 0.844
Accuracy (328): 0.837
Accuracy (329): 0.833
Accuracy (330): 0.835
Accuracy (331): 0.827
Accuracy (332): 0.83
Accuracy (333): 0.825
Accuracy (334): 0.836
Accuracy (335): 0.831
Accuracy (336): 0.836
Accuracy (337): 0.829
Accuracy (338): 0.827
Accuracy (339): 0.836
Accuracy (340): 0.821
Accuracy (341): 0.834
Accuracy (342): 0.827
Accuracy (343): 0.832
Accuracy (344): 0.838
Accuracy (345): 0.842
Accuracy (346): 0.84
Accuracy (347): 0.834
Accuracy (348): 0.833
Accuracy (349): 0.828
Accuracy (350): 0.836
Accuracy (351): 0.838
Accuracy (352): 0.837
Accuracy (353): 0.824
Accuracy (354): 0.823
Accuracy (355): 0.826
Accuracy (356): 0.834
Accuracy (357): 0.822
Accuracy (358): 0.838
Accuracy (359): 0.832
Accuracy (360): 0.832
Accuracy (361): 0.829
Accuracy (362): 0.838
Accuracy (363): 0.831
Accuracy (364): 0.839
Accuracy (365): 0.828
Accuracy (366): 0.829
Accuracy (367): 0.842
Accuracy (368): 0.83
Accuracy (369): 0.836
Accuracy (370): 0.833
Accuracy (371): 0.838
Accuracy (372): 0.83
Accuracy (373): 0.833
Accuracy (374): 0.819
Accuracy (375): 0.821
Accuracy (376): 0.819
Accuracy (377): 0.837
Accuracy (378): 0.837
Accuracy (379): 0.843
Accuracy (380): 0.84
Accuracy (381): 0.839
Accuracy (382): 0.839
Accuracy (383): 0.836
Accuracy (384): 0.815
Accuracy (385): 0.832
Accuracy (386): 0.838
Accuracy (387): 0.821
Accuracy (388): 0.829
Accuracy (389): 0.831
Accuracy (390): 0.829
Accuracy (391): 0.829
Accuracy (392): 0.826
Accuracy (393): 0.826
Accuracy (394): 0.835
Accuracy (395): 0.832
Accuracy (396): 0.836
Accuracy (397): 0.831
Accuracy (398): 0.83
Accuracy (399): 0.834
Accuracy (400): 0.83
Accuracy (401): 0.829
Accuracy (402): 0.839
Accuracy (403): 0.835
Accuracy (404): 0.821
Accuracy (405): 0.822
Accuracy (406): 0.831
Accuracy (407): 0.822
Accuracy (408): 0.828
Accuracy (409): 0.831
Accuracy (410): 0.825
Accuracy (411): 0.821
Accuracy (412): 0.836
Accuracy (413): 0.826
Accuracy (414): 0.825
Accuracy (415): 0.828
Accuracy (416): 0.826
Accuracy (417): 0.832
Accuracy (418): 0.835
Accuracy (419): 0.84
Accuracy (420): 0.832
Accuracy (421): 0.821
Accuracy (422): 0.825
Accuracy (423): 0.822
Accuracy (424): 0.833
Accuracy (425): 0.83
Accuracy (426): 0.829
Accuracy (427): 0.83
Accuracy (428): 0.829
Accuracy (429): 0.824
Accuracy (430): 0.827
Accuracy (431): 0.824
Accuracy (432): 0.819
Accuracy (433): 0.826
Accuracy (434): 0.834
Accuracy (435): 0.833
Accuracy (436): 0.838
Accuracy (437): 0.827
Accuracy (438): 0.839
Accuracy (439): 0.833
Accuracy (440): 0.833
Accuracy (441): 0.836
Accuracy (442): 0.84
Accuracy (443): 0.834
Accuracy (444): 0.828
Accuracy (445): 0.832
Accuracy (446): 0.833
Accuracy (447): 0.833
Accuracy (448): 0.829
Accuracy (449): 0.827
Accuracy (450): 0.831
Accuracy (451): 0.839
Accuracy (452): 0.825
Accuracy (453): 0.829
Accuracy (454): 0.838
Accuracy (455): 0.825
Accuracy (456): 0.836
Accuracy (457): 0.837
Accuracy (458): 0.839
Accuracy (459): 0.833
Accuracy (460): 0.831
Accuracy (461): 0.841
Accuracy (462): 0.834
Accuracy (463): 0.837
Accuracy (464): 0.839
Accuracy (465): 0.832
Accuracy (466): 0.834
Accuracy (467): 0.834
Accuracy (468): 0.831
Accuracy (469): 0.833
Accuracy (470): 0.83
Accuracy (471): 0.826
Accuracy (472): 0.826
Accuracy (473): 0.835
Accuracy (474): 0.839
Accuracy (475): 0.833
Accuracy (476): 0.83
Accuracy (477): 0.838
Accuracy (478): 0.825
Accuracy (479): 0.823
Accuracy (480): 0.823
Accuracy (481): 0.82
Accuracy (482): 0.842
Accuracy (483): 0.84
Accuracy (484): 0.836
Accuracy (485): 0.835
Accuracy (486): 0.839
Accuracy (487): 0.821
Accuracy (488): 0.841
Accuracy (489): 0.845
Accuracy (490): 0.841
Accuracy (491): 0.835
Accuracy (492): 0.841
Accuracy (493): 0.846
Accuracy (494): 0.841
Accuracy (495): 0.827
Accuracy (496): 0.842
Accuracy (497): 0.835
Accuracy (498): 0.844
Accuracy (499): 0.84
Predicted   0    1    2   3   4   5   6   7   8    9   All
Actual                                                    
0          80    1    2   0   2   1   3   0   1    1    91
1           1  118    1   1   2   0   0   1   1    0   125
2           2    0   93   3   1   1   0   2   2    0   104
3           2    0    2  77   2   8   1   2   5    2   101
4           0    4    1   0  78   0   0   1   1   11    96
5           0    1    1   2   0  80   3   0   9    6   102
6           0    2    0   0   2   0  69   1   2    0    76
7           1    1    3   2   3   0   0  81   0    8    99
8           0    1    2   8   0   4   2   1  74    3    95
9           2    0    0   1   3   2   0   2   3   98   111
All        88  128  105  94  93  96  78  91  98  129  1000

correctly predicted 848
out of 1000

Indices of wrong images: [2, 13, 18, 28, 30, 35, 38, 42, 43, 51, 53, 55, 57, 58, 68, 72, 75, 90, 98, 104, 109, 117, 121, 125, 128, 135, 137, 140, 152, 153, 157, 168, 174, 183, 185, 189, 191, 201, 209, 215, 220, 222, 226, 227, 230, 246, 268, 281, 285, 287, 289, 296, 300, 319, 328, 337, 340, 345, 353, 362, 384, 385, 395, 396, 405, 407, 413, 418, 420, 425, 426, 441, 443, 447, 451, 453, 463, 466, 473, 493, 505, 511, 515, 536, 546, 566, 572, 573, 576, 578, 579, 581, 583, 603, 606, 608, 626, 628, 629, 630, 638, 645, 646, 647, 663, 677, 684, 688, 693, 695, 710, 716, 717, 736, 739, 745, 747, 750, 752, 757, 762, 775, 776, 789, 800, 802, 804, 806, 823, 841, 857, 859, 865, 867, 883, 890, 901, 903, 906, 919, 922, 928, 929, 941, 956, 957, 962, 978, 980, 983, 985, 997]
