cnn only run
iters per epoch: 50
number of epochs 200

Accuracy (0): 0.09
Accuracy (1): 0.171
Accuracy (2): 0.33
Accuracy (3): 0.386
Accuracy (4): 0.455
Accuracy (5): 0.49
Accuracy (6): 0.526
Accuracy (7): 0.568
Accuracy (8): 0.609
Accuracy (9): 0.647
Accuracy (10): 0.671
Accuracy (11): 0.696
Accuracy (12): 0.718
Accuracy (13): 0.716
Accuracy (14): 0.737
Accuracy (15): 0.744
Accuracy (16): 0.761
Accuracy (17): 0.762
Accuracy (18): 0.776
Accuracy (19): 0.78
Accuracy (20): 0.789
Accuracy (21): 0.782
Accuracy (22): 0.798
Accuracy (23): 0.802
Accuracy (24): 0.797
Accuracy (25): 0.806
Accuracy (26): 0.818
Accuracy (27): 0.818
Accuracy (28): 0.819
Accuracy (29): 0.824
Accuracy (30): 0.825
Accuracy (31): 0.825
Accuracy (32): 0.822
Accuracy (33): 0.812
Accuracy (34): 0.819
Accuracy (35): 0.818
Accuracy (36): 0.826
Accuracy (37): 0.831
Accuracy (38): 0.826
Accuracy (39): 0.836
Accuracy (40): 0.833
Accuracy (41): 0.827
Accuracy (42): 0.832
Accuracy (43): 0.828
Accuracy (44): 0.829
Accuracy (45): 0.83
Accuracy (46): 0.82
Accuracy (47): 0.829
Accuracy (48): 0.829
Accuracy (49): 0.829
Accuracy (50): 0.827
Accuracy (51): 0.83
Accuracy (52): 0.823
Accuracy (53): 0.83
Accuracy (54): 0.825
Accuracy (55): 0.838
Accuracy (56): 0.824
Accuracy (57): 0.825
Accuracy (58): 0.831
Accuracy (59): 0.837
Accuracy (60): 0.83
Accuracy (61): 0.836
Accuracy (62): 0.832
Accuracy (63): 0.835
Accuracy (64): 0.83
Accuracy (65): 0.84
Accuracy (66): 0.825
Accuracy (67): 0.827
Accuracy (68): 0.828
Accuracy (69): 0.828
Accuracy (70): 0.833
Accuracy (71): 0.823
Accuracy (72): 0.827
Accuracy (73): 0.83
Accuracy (74): 0.827
Accuracy (75): 0.831
Accuracy (76): 0.829
Accuracy (77): 0.825
Accuracy (78): 0.831
Accuracy (79): 0.83
Accuracy (80): 0.832
Accuracy (81): 0.839
Accuracy (82): 0.833
Accuracy (83): 0.822
Accuracy (84): 0.841
Accuracy (85): 0.829
Accuracy (86): 0.834
Accuracy (87): 0.832
Accuracy (88): 0.839
Accuracy (89): 0.841
Accuracy (90): 0.829
Accuracy (91): 0.835
Accuracy (92): 0.836
Accuracy (93): 0.828
Accuracy (94): 0.825
Accuracy (95): 0.828
Accuracy (96): 0.833
Accuracy (97): 0.839
Accuracy (98): 0.825
Accuracy (99): 0.836
Accuracy (100): 0.836
Accuracy (101): 0.832
Accuracy (102): 0.834
Accuracy (103): 0.836
Accuracy (104): 0.837
Accuracy (105): 0.824
Accuracy (106): 0.832
Accuracy (107): 0.834
Accuracy (108): 0.831
Accuracy (109): 0.827
Accuracy (110): 0.834
Accuracy (111): 0.828
Accuracy (112): 0.821
Accuracy (113): 0.836
Accuracy (114): 0.828
Accuracy (115): 0.831
Accuracy (116): 0.834
Accuracy (117): 0.828
Accuracy (118): 0.827
Accuracy (119): 0.815
Accuracy (120): 0.835
Accuracy (121): 0.82
Accuracy (122): 0.843
Accuracy (123): 0.827
Accuracy (124): 0.832
Accuracy (125): 0.836
Accuracy (126): 0.842
Accuracy (127): 0.829
Accuracy (128): 0.831
Accuracy (129): 0.842
Accuracy (130): 0.823
Accuracy (131): 0.84
Accuracy (132): 0.827
Accuracy (133): 0.841
Accuracy (134): 0.831
Accuracy (135): 0.823
Accuracy (136): 0.819
Accuracy (137): 0.831
Accuracy (138): 0.83
Accuracy (139): 0.838
Accuracy (140): 0.833
Accuracy (141): 0.835
Accuracy (142): 0.831
Accuracy (143): 0.836
Accuracy (144): 0.835
Accuracy (145): 0.836
Accuracy (146): 0.84
Accuracy (147): 0.829
Accuracy (148): 0.829
Accuracy (149): 0.84
Accuracy (150): 0.836
Accuracy (151): 0.841
Accuracy (152): 0.833
Accuracy (153): 0.826
Accuracy (154): 0.831
Accuracy (155): 0.829
Accuracy (156): 0.834
Accuracy (157): 0.825
Accuracy (158): 0.824
Accuracy (159): 0.824
Accuracy (160): 0.829
Accuracy (161): 0.828
Accuracy (162): 0.819
Accuracy (163): 0.825
Accuracy (164): 0.82
Accuracy (165): 0.825
Accuracy (166): 0.813
Accuracy (167): 0.822
Accuracy (168): 0.833
Accuracy (169): 0.827
Accuracy (170): 0.831
Accuracy (171): 0.832
Accuracy (172): 0.826
Accuracy (173): 0.828
Accuracy (174): 0.821
Accuracy (175): 0.835
Accuracy (176): 0.823
Accuracy (177): 0.828
Accuracy (178): 0.832
Accuracy (179): 0.826
Accuracy (180): 0.821
Accuracy (181): 0.828
Accuracy (182): 0.826
Accuracy (183): 0.833
Accuracy (184): 0.841
Accuracy (185): 0.842
Accuracy (186): 0.83
Accuracy (187): 0.833
Accuracy (188): 0.835
Accuracy (189): 0.832
Accuracy (190): 0.847
Accuracy (191): 0.835
Accuracy (192): 0.834
Accuracy (193): 0.838
Accuracy (194): 0.849
Accuracy (195): 0.825
Accuracy (196): 0.835
Accuracy (197): 0.84
Accuracy (198): 0.833
Accuracy (199): 0.835
Predicted   0    1    2    3   4   5   6    7   8    9   All
Actual                                                      
0          81    0    0    0   2   1   4    0   0    3    91
1           0  119    1    0   1   0   0    1   0    3   125
2           0    2   89    7   0   0   1    0   4    1   104
3           1    1    2   84   0   6   0    2   3    2   101
4           0    2    2    2  76   0   0    2   2   10    96
5           2    2    0    8   1  77   2    1   6    3   102
6           1    4    0    0   3   3  65    0   0    0    76
7           1    1    2    1   3   0   0   86   0    5    99
8           1    0    4    3   1   6   0    2  68   10    95
9           2    1    0    0   2   0   0    7   2   97   111
All        89  132  100  105  89  93  72  101  85  134  1000

correctly predicted 842
out of 1000

Indices of wrong images: [2, 13, 25, 30, 38, 49, 53, 55, 60, 68, 72, 75, 88, 96, 98, 106, 109, 111, 121, 125, 127, 128, 132, 135, 136, 137, 138, 140, 149, 152, 168, 169, 171, 174, 183, 201, 202, 209, 215, 216, 220, 222, 227, 230, 241, 255, 281, 283, 285, 289, 296, 301, 312, 316, 319, 337, 340, 353, 362, 369, 371, 376, 380, 384, 396, 411, 416, 417, 418, 420, 421, 424, 426, 429, 430, 432, 441, 442, 443, 447, 451, 463, 473, 488, 496, 497, 505, 511, 515, 517, 520, 536, 543, 551, 566, 572, 576, 578, 581, 583, 590, 602, 603, 605, 606, 608, 628, 629, 630, 638, 645, 646, 647, 649, 657, 663, 687, 695, 710, 712, 739, 744, 745, 749, 750, 752, 757, 762, 778, 789, 791, 802, 804, 806, 823, 829, 840, 849, 857, 859, 865, 866, 868, 890, 901, 902, 915, 919, 922, 943, 949, 956, 957, 962, 972, 980, 983, 985]
