cnn only run
iters per epoch: 50
number of epochs 400

Accuracy (0): 0.119
Accuracy (1): 0.119
Accuracy (2): 0.119
Accuracy (3): 0.12
Accuracy (4): 0.247
Accuracy (5): 0.348
Accuracy (6): 0.395
Accuracy (7): 0.431
Accuracy (8): 0.468
Accuracy (9): 0.512
Accuracy (10): 0.529
Accuracy (11): 0.544
Accuracy (12): 0.562
Accuracy (13): 0.576
Accuracy (14): 0.589
Accuracy (15): 0.591
Accuracy (16): 0.597
Accuracy (17): 0.603
Accuracy (18): 0.604
Accuracy (19): 0.615
Accuracy (20): 0.626
Accuracy (21): 0.631
Accuracy (22): 0.638
Accuracy (23): 0.646
Accuracy (24): 0.653
Accuracy (25): 0.657
Accuracy (26): 0.659
Accuracy (27): 0.664
Accuracy (28): 0.666
Accuracy (29): 0.671
Accuracy (30): 0.677
Accuracy (31): 0.676
Accuracy (32): 0.685
Accuracy (33): 0.69
Accuracy (34): 0.691
Accuracy (35): 0.701
Accuracy (36): 0.702
Accuracy (37): 0.704
Accuracy (38): 0.705
Accuracy (39): 0.708
Accuracy (40): 0.716
Accuracy (41): 0.718
Accuracy (42): 0.72
Accuracy (43): 0.726
Accuracy (44): 0.73
Accuracy (45): 0.729
Accuracy (46): 0.728
Accuracy (47): 0.731
Accuracy (48): 0.731
Accuracy (49): 0.735
Accuracy (50): 0.734
Accuracy (51): 0.739
Accuracy (52): 0.741
Accuracy (53): 0.747
Accuracy (54): 0.745
Accuracy (55): 0.743
Accuracy (56): 0.743
Accuracy (57): 0.75
Accuracy (58): 0.747
Accuracy (59): 0.753
Accuracy (60): 0.75
Accuracy (61): 0.754
Accuracy (62): 0.753
Accuracy (63): 0.752
Accuracy (64): 0.754
Accuracy (65): 0.749
Accuracy (66): 0.76
Accuracy (67): 0.758
Accuracy (68): 0.763
Accuracy (69): 0.765
Accuracy (70): 0.757
Accuracy (71): 0.762
Accuracy (72): 0.766
Accuracy (73): 0.761
Accuracy (74): 0.76
Accuracy (75): 0.764
Accuracy (76): 0.762
Accuracy (77): 0.761
Accuracy (78): 0.76
Accuracy (79): 0.764
Accuracy (80): 0.763
Accuracy (81): 0.761
Accuracy (82): 0.762
Accuracy (83): 0.765
Accuracy (84): 0.764
Accuracy (85): 0.762
Accuracy (86): 0.766
Accuracy (87): 0.762
Accuracy (88): 0.763
Accuracy (89): 0.769
Accuracy (90): 0.765
Accuracy (91): 0.762
Accuracy (92): 0.772
Accuracy (93): 0.767
Accuracy (94): 0.771
Accuracy (95): 0.772
Accuracy (96): 0.77
Accuracy (97): 0.769
Accuracy (98): 0.771
Accuracy (99): 0.766
Accuracy (100): 0.77
Accuracy (101): 0.763
Accuracy (102): 0.771
Accuracy (103): 0.762
Accuracy (104): 0.772
Accuracy (105): 0.767
Accuracy (106): 0.764
Accuracy (107): 0.765
Accuracy (108): 0.771
Accuracy (109): 0.766
Accuracy (110): 0.763
Accuracy (111): 0.769
Accuracy (112): 0.775
Accuracy (113): 0.77
Accuracy (114): 0.778
Accuracy (115): 0.762
Accuracy (116): 0.768
Accuracy (117): 0.771
Accuracy (118): 0.767
Accuracy (119): 0.765
Accuracy (120): 0.771
Accuracy (121): 0.767
Accuracy (122): 0.77
Accuracy (123): 0.771
Accuracy (124): 0.763
Accuracy (125): 0.765
Accuracy (126): 0.761
Accuracy (127): 0.76
Accuracy (128): 0.763
Accuracy (129): 0.768
Accuracy (130): 0.763
Accuracy (131): 0.765
Accuracy (132): 0.762
Accuracy (133): 0.757
Accuracy (134): 0.763
Accuracy (135): 0.764
Accuracy (136): 0.768
Accuracy (137): 0.758
Accuracy (138): 0.767
Accuracy (139): 0.758
Accuracy (140): 0.764
Accuracy (141): 0.765
Accuracy (142): 0.758
Accuracy (143): 0.767
Accuracy (144): 0.764
Accuracy (145): 0.763
Accuracy (146): 0.768
Accuracy (147): 0.763
Accuracy (148): 0.759
Accuracy (149): 0.759
Accuracy (150): 0.77
Accuracy (151): 0.758
Accuracy (152): 0.756
Accuracy (153): 0.763
Accuracy (154): 0.759
Accuracy (155): 0.765
Accuracy (156): 0.764
Accuracy (157): 0.763
Accuracy (158): 0.759
Accuracy (159): 0.755
Accuracy (160): 0.763
Accuracy (161): 0.761
Accuracy (162): 0.77
Accuracy (163): 0.761
Accuracy (164): 0.758
Accuracy (165): 0.763
Accuracy (166): 0.76
Accuracy (167): 0.76
Accuracy (168): 0.757
Accuracy (169): 0.758
Accuracy (170): 0.755
Accuracy (171): 0.758
