cnn only run
Accuracy (172): 0.756
Accuracy (173): 0.754
Accuracy (174): 0.763
Accuracy (175): 0.758
Accuracy (176): 0.753
Accuracy (177): 0.759
Accuracy (178): 0.76
Accuracy (179): 0.761
Accuracy (180): 0.754
Accuracy (181): 0.756
Accuracy (182): 0.754
Accuracy (183): 0.764
Accuracy (184): 0.757
Accuracy (185): 0.759
Accuracy (186): 0.758
Accuracy (187): 0.763
Accuracy (188): 0.764
Accuracy (189): 0.763
Accuracy (190): 0.751
Accuracy (191): 0.764
Accuracy (192): 0.765
Accuracy (193): 0.767
Accuracy (194): 0.763
Accuracy (195): 0.762
Accuracy (196): 0.758
Accuracy (197): 0.754
Accuracy (198): 0.762
Accuracy (199): 0.758
Accuracy (200): 0.766
Accuracy (201): 0.766
Accuracy (202): 0.759
Accuracy (203): 0.758
Accuracy (204): 0.765
Accuracy (205): 0.762
Accuracy (206): 0.762
Accuracy (207): 0.76
Accuracy (208): 0.762
Accuracy (209): 0.762
Accuracy (210): 0.758
Accuracy (211): 0.758
Accuracy (212): 0.755
Accuracy (213): 0.757
Accuracy (214): 0.765
Accuracy (215): 0.763
Accuracy (216): 0.762
Accuracy (217): 0.755
Accuracy (218): 0.764
Accuracy (219): 0.755
Accuracy (220): 0.757
Accuracy (221): 0.759
Accuracy (222): 0.758
Accuracy (223): 0.768
Accuracy (224): 0.753
Accuracy (225): 0.759
Accuracy (226): 0.755
Accuracy (227): 0.764
Accuracy (228): 0.758
Accuracy (229): 0.759
Accuracy (230): 0.757
Accuracy (231): 0.753
Accuracy (232): 0.757
Accuracy (233): 0.758
Accuracy (234): 0.765
Accuracy (235): 0.759
Accuracy (236): 0.765
Accuracy (237): 0.762
Accuracy (238): 0.757
Accuracy (239): 0.764
Accuracy (240): 0.768
Accuracy (241): 0.761
Accuracy (242): 0.764
Accuracy (243): 0.759
Accuracy (244): 0.763
Accuracy (245): 0.769
Accuracy (246): 0.765
Accuracy (247): 0.76
Accuracy (248): 0.763
Accuracy (249): 0.76
Accuracy (250): 0.769
Accuracy (251): 0.765
Accuracy (252): 0.762
Accuracy (253): 0.766
Accuracy (254): 0.763
Accuracy (255): 0.768
Accuracy (256): 0.762
Accuracy (257): 0.763
Accuracy (258): 0.771
Accuracy (259): 0.762
Accuracy (260): 0.77
Accuracy (261): 0.764
Accuracy (262): 0.759
Accuracy (263): 0.763
Accuracy (264): 0.77
Accuracy (265): 0.766
Accuracy (266): 0.771
Accuracy (267): 0.762
Accuracy (268): 0.764
Accuracy (269): 0.762
Accuracy (270): 0.765
Accuracy (271): 0.76
Accuracy (272): 0.77
Accuracy (273): 0.77
Accuracy (274): 0.762
Accuracy (275): 0.766
Accuracy (276): 0.766
Accuracy (277): 0.772
Accuracy (278): 0.763
Accuracy (279): 0.771
Accuracy (280): 0.764
Accuracy (281): 0.771
Accuracy (282): 0.76
Accuracy (283): 0.758
Accuracy (284): 0.759
Accuracy (285): 0.765
Accuracy (286): 0.763
Accuracy (287): 0.762
Accuracy (288): 0.759
Accuracy (289): 0.765
Accuracy (290): 0.773
Accuracy (291): 0.77
Accuracy (292): 0.774
Accuracy (293): 0.764
Accuracy (294): 0.765
Accuracy (295): 0.768
Accuracy (296): 0.764
Accuracy (297): 0.772
Accuracy (298): 0.765
Accuracy (299): 0.766
Accuracy (300): 0.769
Accuracy (301): 0.768
Accuracy (302): 0.77
Accuracy (303): 0.769
Accuracy (304): 0.76
Accuracy (305): 0.761
Accuracy (306): 0.766
Accuracy (307): 0.77
Accuracy (308): 0.765
Accuracy (309): 0.769
Accuracy (310): 0.763
Accuracy (311): 0.766
Accuracy (312): 0.773
Accuracy (313): 0.772
Accuracy (314): 0.765
Accuracy (315): 0.773
Accuracy (316): 0.767
Accuracy (317): 0.768
Accuracy (318): 0.764
Accuracy (319): 0.771
Accuracy (320): 0.767
Accuracy (321): 0.764
Accuracy (322): 0.769
Accuracy (323): 0.77
Accuracy (324): 0.771
Accuracy (325): 0.764
Accuracy (326): 0.765
Accuracy (327): 0.765
Accuracy (328): 0.757
Accuracy (329): 0.766
Accuracy (330): 0.767
Accuracy (331): 0.766
Accuracy (332): 0.767
Accuracy (333): 0.767
Accuracy (334): 0.762
Accuracy (335): 0.768
Accuracy (336): 0.763
Accuracy (337): 0.766
Accuracy (338): 0.768
Accuracy (339): 0.76
Accuracy (340): 0.771
Accuracy (341): 0.762
Accuracy (342): 0.759
Accuracy (343): 0.767
Accuracy (344): 0.766
Accuracy (345): 0.759
Accuracy (346): 0.765
Accuracy (347): 0.77
Accuracy (348): 0.767
Accuracy (349): 0.765
Accuracy (350): 0.769
Accuracy (351): 0.764
Accuracy (352): 0.765
Accuracy (353): 0.763
Accuracy (354): 0.763
Accuracy (355): 0.767
Accuracy (356): 0.767
Accuracy (357): 0.767
Accuracy (358): 0.767
Accuracy (359): 0.762
Accuracy (360): 0.765
Accuracy (361): 0.774
Accuracy (362): 0.766
Accuracy (363): 0.763
Accuracy (364): 0.766
Accuracy (365): 0.771
Accuracy (366): 0.762
Accuracy (367): 0.764
Accuracy (368): 0.759
Accuracy (369): 0.766
Accuracy (370): 0.774
Accuracy (371): 0.773
Accuracy (372): 0.774
Accuracy (373): 0.768
Accuracy (374): 0.77
Accuracy (375): 0.765
Accuracy (376): 0.762
Accuracy (377): 0.765
Accuracy (378): 0.763
Accuracy (379): 0.762
Accuracy (380): 0.762
Accuracy (381): 0.764
Accuracy (382): 0.764
Accuracy (383): 0.765
Accuracy (384): 0.767
Accuracy (385): 0.761
Accuracy (386): 0.766
Accuracy (387): 0.771
Accuracy (388): 0.771
Accuracy (389): 0.764
Accuracy (390): 0.768
Accuracy (391): 0.771
Accuracy (392): 0.762
Accuracy (393): 0.767
Accuracy (394): 0.764
Accuracy (395): 0.766
Accuracy (396): 0.773
Accuracy (397): 0.765
Accuracy (398): 0.764
Accuracy (399): 0.759
Predicted   0    1    2   3    4   5   6    7   8    9   All
Actual                                                      
0          73    1    2   3    1   4   3    0   2    2    91
1           0  117    0   0    2   1   2    0   3    0   125
2           0    2   86   1    2   3   4    3   2    1   104
3           3    2    7  70    1   3   0    4   8    3   101
4           1    2    2   0   75   4   2    4   0    6    96
5           4    4    1   9    4  65   3    3   5    4   102
6           0    2    3   0    6   2  57    2   4    0    76
7           1    0    6   4    2   0   0   82   0    4    99
8           1    6    3   3    1   8   1    7  59    6    95
9           0    1    2   2    7   2   2    7   3   85   111
All        83  137  112  92  101  92  74  112  86  111  1000

correctly predicted 769
out of 1000

Indices of wrong images: [5, 6, 13, 15, 19, 24, 25, 30, 43, 51, 55, 60, 64, 66, 68, 70, 75, 85, 88, 89, 90, 96, 98, 104, 109, 121, 123, 125, 128, 132, 135, 136, 138, 140, 144, 152, 155, 161, 168, 169, 171, 174, 189, 190, 200, 202, 205, 211, 212, 215, 216, 217, 219, 226, 227, 229, 230, 237, 249, 252, 253, 266, 269, 285, 287, 289, 296, 306, 311, 314, 316, 319, 323, 326, 337, 340, 341, 343, 346, 359, 362, 369, 370, 379, 383, 384, 391, 395, 396, 404, 405, 407, 413, 416, 418, 420, 424, 426, 430, 431, 432, 440, 441, 453, 455, 457, 461, 464, 467, 478, 482, 483, 488, 501, 507, 511, 515, 520, 524, 530, 531, 535, 536, 542, 546, 557, 566, 568, 570, 572, 575, 576, 578, 579, 580, 581, 583, 585, 586, 590, 602, 603, 607, 610, 614, 616, 623, 626, 628, 629, 630, 636, 644, 645, 646, 647, 649, 654, 663, 673, 676, 681, 686, 688, 700, 701, 710, 712, 717, 718, 732, 735, 739, 742, 745, 746, 747, 750, 752, 754, 759, 773, 775, 776, 778, 780, 789, 791, 792, 798, 804, 806, 810, 823, 831, 836, 839, 859, 874, 875, 878, 880, 883, 890, 894, 904, 905, 906, 915, 922, 928, 929, 939, 942, 944, 948, 955, 956, 957, 961, 962, 965, 967, 971, 972, 978, 980, 982, 987, 989, 998]
