cnn only run
Accuracy (87): 0.831
Accuracy (88): 0.852
Accuracy (89): 0.839
Accuracy (90): 0.848
Accuracy (91): 0.843
Accuracy (92): 0.846
Accuracy (93): 0.846
Accuracy (94): 0.845
Accuracy (95): 0.842
Accuracy (96): 0.842
Accuracy (97): 0.836
Accuracy (98): 0.845
Accuracy (99): 0.835
Accuracy (100): 0.837
Accuracy (101): 0.834
Accuracy (102): 0.849
Accuracy (103): 0.829
Accuracy (104): 0.84
Accuracy (105): 0.838
Accuracy (106): 0.84
Accuracy (107): 0.839
Accuracy (108): 0.833
Accuracy (109): 0.842
Accuracy (110): 0.835
Accuracy (111): 0.841
Accuracy (112): 0.846
Accuracy (113): 0.837
Accuracy (114): 0.84
Accuracy (115): 0.845
Accuracy (116): 0.843
Accuracy (117): 0.847
Accuracy (118): 0.843
Accuracy (119): 0.836
Accuracy (120): 0.842
Accuracy (121): 0.841
Accuracy (122): 0.847
Accuracy (123): 0.842
Accuracy (124): 0.834
Accuracy (125): 0.848
Accuracy (126): 0.833
Accuracy (127): 0.834
Accuracy (128): 0.837
Accuracy (129): 0.848
Accuracy (130): 0.832
Accuracy (131): 0.829
Accuracy (132): 0.843
Accuracy (133): 0.839
Accuracy (134): 0.844
Accuracy (135): 0.847
Accuracy (136): 0.843
Accuracy (137): 0.846
Accuracy (138): 0.841
Accuracy (139): 0.844
Accuracy (140): 0.843
Accuracy (141): 0.849
Accuracy (142): 0.832
Accuracy (143): 0.85
Accuracy (144): 0.844
Accuracy (145): 0.836
Accuracy (146): 0.845
Accuracy (147): 0.84
Accuracy (148): 0.831
Accuracy (149): 0.839
Accuracy (150): 0.838
Accuracy (151): 0.84
Accuracy (152): 0.843
Accuracy (153): 0.84
Accuracy (154): 0.83
Accuracy (155): 0.842
Accuracy (156): 0.827
Accuracy (157): 0.827
Accuracy (158): 0.836
Accuracy (159): 0.833
Accuracy (160): 0.833
Accuracy (161): 0.848
Accuracy (162): 0.839
Accuracy (163): 0.836
Accuracy (164): 0.836
Accuracy (165): 0.833
Accuracy (166): 0.827
Accuracy (167): 0.835
Accuracy (168): 0.835
Accuracy (169): 0.842
Accuracy (170): 0.833
Accuracy (171): 0.831
Accuracy (172): 0.834
Accuracy (173): 0.834
Accuracy (174): 0.833
Accuracy (175): 0.843
Accuracy (176): 0.83
Accuracy (177): 0.84
Accuracy (178): 0.835
Accuracy (179): 0.837
Accuracy (180): 0.836
Accuracy (181): 0.842
Accuracy (182): 0.835
Accuracy (183): 0.849
Accuracy (184): 0.847
Accuracy (185): 0.84
Accuracy (186): 0.842
Accuracy (187): 0.843
Accuracy (188): 0.841
Accuracy (189): 0.839
Accuracy (190): 0.84
Accuracy (191): 0.848
Accuracy (192): 0.847
Accuracy (193): 0.83
Accuracy (194): 0.825
Accuracy (195): 0.844
Accuracy (196): 0.845
Accuracy (197): 0.834
Accuracy (198): 0.839
Accuracy (199): 0.838
Accuracy (200): 0.836
Accuracy (201): 0.839
Accuracy (202): 0.838
Accuracy (203): 0.847
Accuracy (204): 0.854
Accuracy (205): 0.846
Accuracy (206): 0.829
Accuracy (207): 0.837
Accuracy (208): 0.834
Accuracy (209): 0.838
Accuracy (210): 0.838
Accuracy (211): 0.845
Accuracy (212): 0.847
Accuracy (213): 0.837
Accuracy (214): 0.839
Accuracy (215): 0.843
Accuracy (216): 0.851
Accuracy (217): 0.834
Accuracy (218): 0.847
Accuracy (219): 0.834
Accuracy (220): 0.835
Accuracy (221): 0.837
Accuracy (222): 0.832
Accuracy (223): 0.842
Accuracy (224): 0.849
Accuracy (225): 0.836
Accuracy (226): 0.838
Accuracy (227): 0.843
Accuracy (228): 0.842
Accuracy (229): 0.836
Accuracy (230): 0.842
Accuracy (231): 0.842
Accuracy (232): 0.834
Accuracy (233): 0.84
Accuracy (234): 0.835
Accuracy (235): 0.844
Accuracy (236): 0.835
Accuracy (237): 0.829
Accuracy (238): 0.831
Accuracy (239): 0.825
Accuracy (240): 0.846
Accuracy (241): 0.828
Accuracy (242): 0.835
Accuracy (243): 0.835
Accuracy (244): 0.832
Accuracy (245): 0.837
Accuracy (246): 0.841
Accuracy (247): 0.842
Accuracy (248): 0.833
Accuracy (249): 0.843
Accuracy (250): 0.828
Accuracy (251): 0.832
Accuracy (252): 0.847
Accuracy (253): 0.836
Accuracy (254): 0.833
Accuracy (255): 0.827
Accuracy (256): 0.831
Accuracy (257): 0.83
Accuracy (258): 0.838
Accuracy (259): 0.841
Accuracy (260): 0.836
Accuracy (261): 0.84
Accuracy (262): 0.836
Accuracy (263): 0.843
Accuracy (264): 0.828
Accuracy (265): 0.825
Accuracy (266): 0.831
Accuracy (267): 0.834
Accuracy (268): 0.827
Accuracy (269): 0.828
Accuracy (270): 0.832
Accuracy (271): 0.843
Accuracy (272): 0.843
Accuracy (273): 0.839
Accuracy (274): 0.829
Accuracy (275): 0.841
Accuracy (276): 0.838
Accuracy (277): 0.839
Accuracy (278): 0.829
Accuracy (279): 0.831
Accuracy (280): 0.829
Accuracy (281): 0.837
Accuracy (282): 0.838
Accuracy (283): 0.841
Accuracy (284): 0.845
Accuracy (285): 0.83
Accuracy (286): 0.833
Accuracy (287): 0.834
Accuracy (288): 0.839
Accuracy (289): 0.819
Accuracy (290): 0.841
Accuracy (291): 0.832
Accuracy (292): 0.835
Accuracy (293): 0.842
Accuracy (294): 0.831
Accuracy (295): 0.835
Accuracy (296): 0.841
Accuracy (297): 0.833
Accuracy (298): 0.844
Accuracy (299): 0.839
Predicted   0    1    2   3   4   5   6    7   8    9   All
Actual                                                     
0          75    4    1   0   2   0   6    1   1    1    91
1           1  118    0   0   1   1   1    1   1    1   125
2           1    0   89   4   1   0   2    4   3    0   104
3           0    1    3  85   1   4   0    2   2    3   101
4           0    4    0   0  75   0   4    2   1   10    96
5           2    2    2   3   0  82   2    1   5    3   102
6           0    2    2   0   2   2  67    0   1    0    76
7           0    1    2   2   3   0   0   87   0    4    99
8           0    0    1   2   0   2   3    4  79    4    95
9           3    1    0   1   2   3   0    3   5   93   111
All        82  133  100  97  87  94  85  105  98  119  1000

correctly predicted 850
out of 1000

Indices of wrong images: [8, 13, 18, 25, 42, 43, 48, 64, 68, 70, 75, 96, 98, 104, 109, 112, 117, 121, 125, 128, 133, 137, 169, 171, 174, 185, 189, 190, 201, 209, 215, 216, 219, 220, 222, 227, 241, 249, 252, 256, 269, 283, 285, 296, 300, 314, 316, 337, 340, 346, 353, 359, 362, 363, 369, 376, 380, 384, 395, 396, 402, 417, 420, 424, 426, 439, 441, 443, 461, 463, 464, 465, 466, 477, 488, 493, 496, 497, 505, 520, 536, 543, 566, 572, 573, 576, 578, 581, 583, 590, 592, 599, 606, 608, 628, 630, 645, 646, 647, 657, 663, 675, 695, 710, 712, 717, 725, 730, 739, 745, 747, 750, 752, 757, 759, 773, 776, 779, 789, 800, 802, 806, 810, 821, 823, 838, 841, 849, 857, 863, 865, 868, 874, 890, 899, 901, 902, 913, 915, 919, 922, 929, 942, 956, 957, 962, 963, 980, 983, 985]
