cnn only run
iters per epoch: 50
number of epochs 300

Accuracy (0): 0.09
Accuracy (1): 0.12
Accuracy (2): 0.255
Accuracy (3): 0.38
Accuracy (4): 0.416
Accuracy (5): 0.455
Accuracy (6): 0.485
Accuracy (7): 0.504
Accuracy (8): 0.531
Accuracy (9): 0.533
Accuracy (10): 0.554
Accuracy (11): 0.569
Accuracy (12): 0.596
Accuracy (13): 0.62
Accuracy (14): 0.635
Accuracy (15): 0.67
Accuracy (16): 0.682
Accuracy (17): 0.704
Accuracy (18): 0.728
Accuracy (19): 0.732
Accuracy (20): 0.751
Accuracy (21): 0.747
Accuracy (22): 0.773
Accuracy (23): 0.781
Accuracy (24): 0.784
Accuracy (25): 0.785
Accuracy (26): 0.801
Accuracy (27): 0.805
Accuracy (28): 0.812
Accuracy (29): 0.81
Accuracy (30): 0.813
Accuracy (31): 0.818
Accuracy (32): 0.821
Accuracy (33): 0.822
Accuracy (34): 0.828
Accuracy (35): 0.827
Accuracy (36): 0.827
Accuracy (37): 0.827
Accuracy (38): 0.832
Accuracy (39): 0.827
Accuracy (40): 0.824
Accuracy (41): 0.832
Accuracy (42): 0.84
Accuracy (43): 0.833
Accuracy (44): 0.836
Accuracy (45): 0.821
Accuracy (46): 0.84
Accuracy (47): 0.837
Accuracy (48): 0.839
Accuracy (49): 0.85
Accuracy (50): 0.828
Accuracy (51): 0.84
Accuracy (52): 0.834
Accuracy (53): 0.829
Accuracy (54): 0.841
Accuracy (55): 0.84
Accuracy (56): 0.829
Accuracy (57): 0.829
Accuracy (58): 0.829
Accuracy (59): 0.835
Accuracy (60): 0.839
Accuracy (61): 0.837
Accuracy (62): 0.833
Accuracy (63): 0.847
Accuracy (64): 0.837
Accuracy (65): 0.843
Accuracy (66): 0.837
Accuracy (67): 0.835
Accuracy (68): 0.842
Accuracy (69): 0.85
Accuracy (70): 0.843
Accuracy (71): 0.846
Accuracy (72): 0.842
Accuracy (73): 0.845
Accuracy (74): 0.843
Accuracy (75): 0.834
Accuracy (76): 0.836
Accuracy (77): 0.84
Accuracy (78): 0.842
Accuracy (79): 0.839
Accuracy (80): 0.836
Accuracy (81): 0.838
Accuracy (82): 0.845
Accuracy (83): 0.843
Accuracy (84): 0.841
Accuracy (85): 0.836
Accuracy (86): 0.847
