cnn only run
iters per epoch: 50
number of epochs 400

Accuracy (0): 0.119
Accuracy (1): 0.184
Accuracy (2): 0.307
Accuracy (3): 0.385
Accuracy (4): 0.437
Accuracy (5): 0.463
Accuracy (6): 0.511
Accuracy (7): 0.561
Accuracy (8): 0.598
Accuracy (9): 0.619
Accuracy (10): 0.635
Accuracy (11): 0.655
Accuracy (12): 0.676
Accuracy (13): 0.688
Accuracy (14): 0.698
Accuracy (15): 0.706
Accuracy (16): 0.728
Accuracy (17): 0.736
Accuracy (18): 0.743
Accuracy (19): 0.757
Accuracy (20): 0.758
Accuracy (21): 0.762
Accuracy (22): 0.766
Accuracy (23): 0.772
Accuracy (24): 0.781
Accuracy (25): 0.779
Accuracy (26): 0.784
Accuracy (27): 0.781
Accuracy (28): 0.787
Accuracy (29): 0.798
Accuracy (30): 0.799
Accuracy (31): 0.795
Accuracy (32): 0.796
Accuracy (33): 0.79
Accuracy (34): 0.802
Accuracy (35): 0.817
Accuracy (36): 0.803
Accuracy (37): 0.803
Accuracy (38): 0.809
Accuracy (39): 0.811
Accuracy (40): 0.815
Accuracy (41): 0.808
Accuracy (42): 0.808
Accuracy (43): 0.814
Accuracy (44): 0.812
Accuracy (45): 0.816
Accuracy (46): 0.809
Accuracy (47): 0.809
Accuracy (48): 0.805
Accuracy (49): 0.811
Accuracy (50): 0.821
Accuracy (51): 0.818
Accuracy (52): 0.808
Accuracy (53): 0.817
Accuracy (54): 0.806
Accuracy (55): 0.803
Accuracy (56): 0.814
Accuracy (57): 0.816
Accuracy (58): 0.817
Accuracy (59): 0.808
Accuracy (60): 0.816
Accuracy (61): 0.819
Accuracy (62): 0.814
Accuracy (63): 0.818
Accuracy (64): 0.822
Accuracy (65): 0.817
Accuracy (66): 0.817
Accuracy (67): 0.822
Accuracy (68): 0.807
Accuracy (69): 0.81
Accuracy (70): 0.817
Accuracy (71): 0.822
Accuracy (72): 0.815
Accuracy (73): 0.821
Accuracy (74): 0.831
Accuracy (75): 0.831
Accuracy (76): 0.82
Accuracy (77): 0.822
Accuracy (78): 0.815
Accuracy (79): 0.827
Accuracy (80): 0.826
Accuracy (81): 0.822
Accuracy (82): 0.819
Accuracy (83): 0.818
Accuracy (84): 0.813
Accuracy (85): 0.813
Accuracy (86): 0.819
Accuracy (87): 0.821
Accuracy (88): 0.809
Accuracy (89): 0.814
Accuracy (90): 0.821
Accuracy (91): 0.82
Accuracy (92): 0.817
Accuracy (93): 0.828
Accuracy (94): 0.824
Accuracy (95): 0.814
Accuracy (96): 0.818
Accuracy (97): 0.812
Accuracy (98): 0.817
Accuracy (99): 0.827
Accuracy (100): 0.824
Accuracy (101): 0.815
Accuracy (102): 0.823
Accuracy (103): 0.822
Accuracy (104): 0.827
Accuracy (105): 0.828
Accuracy (106): 0.818
Accuracy (107): 0.819
Accuracy (108): 0.824
Accuracy (109): 0.815
Accuracy (110): 0.824
Accuracy (111): 0.824
Accuracy (112): 0.822
Accuracy (113): 0.825
Accuracy (114): 0.825
Accuracy (115): 0.83
Accuracy (116): 0.817
Accuracy (117): 0.82
Accuracy (118): 0.824
Accuracy (119): 0.82
Accuracy (120): 0.813
Accuracy (121): 0.825
Accuracy (122): 0.819
Accuracy (123): 0.829
Accuracy (124): 0.819
Accuracy (125): 0.809
Accuracy (126): 0.835
Accuracy (127): 0.827
Accuracy (128): 0.819
Accuracy (129): 0.827
Accuracy (130): 0.817
Accuracy (131): 0.823
Accuracy (132): 0.829
Accuracy (133): 0.836
Accuracy (134): 0.819
Accuracy (135): 0.824
Accuracy (136): 0.833
Accuracy (137): 0.822
Accuracy (138): 0.816
Accuracy (139): 0.822
Accuracy (140): 0.82
Accuracy (141): 0.822
Accuracy (142): 0.823
Accuracy (143): 0.826
Accuracy (144): 0.814
Accuracy (145): 0.824
Accuracy (146): 0.815
Accuracy (147): 0.823
Accuracy (148): 0.815
Accuracy (149): 0.83
Accuracy (150): 0.821
Accuracy (151): 0.823
Accuracy (152): 0.818
Accuracy (153): 0.813
Accuracy (154): 0.823
Accuracy (155): 0.832
Accuracy (156): 0.821
Accuracy (157): 0.819
Accuracy (158): 0.829
Accuracy (159): 0.822
Accuracy (160): 0.83
Accuracy (161): 0.815
Accuracy (162): 0.816
Accuracy (163): 0.823
Accuracy (164): 0.814
Accuracy (165): 0.821
Accuracy (166): 0.827
Accuracy (167): 0.823
Accuracy (168): 0.818
Accuracy (169): 0.824
Accuracy (170): 0.827
Accuracy (171): 0.821
