cnn only run
iters per epoch: 50
number of epochs 200

Accuracy (0): 0.09
Accuracy (1): 0.119
Accuracy (2): 0.131
Accuracy (3): 0.275
Accuracy (4): 0.438
Accuracy (5): 0.49
Accuracy (6): 0.526
Accuracy (7): 0.551
Accuracy (8): 0.573
Accuracy (9): 0.593
Accuracy (10): 0.608
Accuracy (11): 0.618
Accuracy (12): 0.632
Accuracy (13): 0.642
Accuracy (14): 0.649
Accuracy (15): 0.664
Accuracy (16): 0.674
Accuracy (17): 0.689
Accuracy (18): 0.697
Accuracy (19): 0.701
Accuracy (20): 0.711
Accuracy (21): 0.714
Accuracy (22): 0.716
Accuracy (23): 0.73
Accuracy (24): 0.731
Accuracy (25): 0.726
Accuracy (26): 0.734
Accuracy (27): 0.736
Accuracy (28): 0.747
Accuracy (29): 0.746
Accuracy (30): 0.745
Accuracy (31): 0.75
Accuracy (32): 0.755
Accuracy (33): 0.76
Accuracy (34): 0.758
Accuracy (35): 0.769
Accuracy (36): 0.764
Accuracy (37): 0.764
Accuracy (38): 0.767
Accuracy (39): 0.769
Accuracy (40): 0.772
Accuracy (41): 0.774
Accuracy (42): 0.776
Accuracy (43): 0.771
Accuracy (44): 0.779
Accuracy (45): 0.779
Accuracy (46): 0.782
Accuracy (47): 0.778
Accuracy (48): 0.781
Accuracy (49): 0.779
Accuracy (50): 0.778
Accuracy (51): 0.784
Accuracy (52): 0.787
Accuracy (53): 0.781
Accuracy (54): 0.785
Accuracy (55): 0.787
Accuracy (56): 0.785
Accuracy (57): 0.786
Accuracy (58): 0.784
Accuracy (59): 0.793
Accuracy (60): 0.786
Accuracy (61): 0.789
Accuracy (62): 0.786
Accuracy (63): 0.78
Accuracy (64): 0.789
Accuracy (65): 0.791
Accuracy (66): 0.781
Accuracy (67): 0.79
Accuracy (68): 0.795
Accuracy (69): 0.787
Accuracy (70): 0.79
Accuracy (71): 0.784
Accuracy (72): 0.782
Accuracy (73): 0.782
Accuracy (74): 0.791
Accuracy (75): 0.792
Accuracy (76): 0.788
Accuracy (77): 0.782
Accuracy (78): 0.788
Accuracy (79): 0.782
Accuracy (80): 0.79
Accuracy (81): 0.787
Accuracy (82): 0.783
Accuracy (83): 0.782
Accuracy (84): 0.783
Accuracy (85): 0.793
Accuracy (86): 0.794
Accuracy (87): 0.788
Accuracy (88): 0.79
Accuracy (89): 0.789
Accuracy (90): 0.782
Accuracy (91): 0.787
Accuracy (92): 0.784
Accuracy (93): 0.786
Accuracy (94): 0.787
Accuracy (95): 0.792
Accuracy (96): 0.783
Accuracy (97): 0.789
Accuracy (98): 0.789
Accuracy (99): 0.785
Accuracy (100): 0.788
Accuracy (101): 0.786
Accuracy (102): 0.788
Accuracy (103): 0.793
Accuracy (104): 0.791
Accuracy (105): 0.795
Accuracy (106): 0.79
Accuracy (107): 0.788
Accuracy (108): 0.779
Accuracy (109): 0.784
Accuracy (110): 0.779
Accuracy (111): 0.793
Accuracy (112): 0.79
Accuracy (113): 0.785
Accuracy (114): 0.787
Accuracy (115): 0.794
Accuracy (116): 0.788
Accuracy (117): 0.788
Accuracy (118): 0.79
Accuracy (119): 0.789
Accuracy (120): 0.785
Accuracy (121): 0.792
Accuracy (122): 0.788
Accuracy (123): 0.789
Accuracy (124): 0.79
Accuracy (125): 0.79
Accuracy (126): 0.789
Accuracy (127): 0.797
Accuracy (128): 0.794
Accuracy (129): 0.789
Accuracy (130): 0.791
Accuracy (131): 0.787
Accuracy (132): 0.792
Accuracy (133): 0.787
Accuracy (134): 0.786
Accuracy (135): 0.789
Accuracy (136): 0.785
Accuracy (137): 0.788
Accuracy (138): 0.794
Accuracy (139): 0.787
Accuracy (140): 0.786
Accuracy (141): 0.788
Accuracy (142): 0.785
Accuracy (143): 0.792
Accuracy (144): 0.785
Accuracy (145): 0.785
Accuracy (146): 0.791
Accuracy (147): 0.783
Accuracy (148): 0.78
Accuracy (149): 0.787
Accuracy (150): 0.789
Accuracy (151): 0.783
Accuracy (152): 0.785
Accuracy (153): 0.785
Accuracy (154): 0.788
Accuracy (155): 0.787
Accuracy (156): 0.783
Accuracy (157): 0.781
Accuracy (158): 0.791
Accuracy (159): 0.785
Accuracy (160): 0.789
Accuracy (161): 0.79
Accuracy (162): 0.791
Accuracy (163): 0.792
Accuracy (164): 0.794
Accuracy (165): 0.788
Accuracy (166): 0.796
Accuracy (167): 0.789
Accuracy (168): 0.789
Accuracy (169): 0.785
Accuracy (170): 0.785
Accuracy (171): 0.787
Accuracy (172): 0.792
Accuracy (173): 0.79
Accuracy (174): 0.784
Accuracy (175): 0.785
Accuracy (176): 0.78
Accuracy (177): 0.781
Accuracy (178): 0.785
Accuracy (179): 0.784
Accuracy (180): 0.779
Accuracy (181): 0.784
Accuracy (182): 0.786
Accuracy (183): 0.784
Accuracy (184): 0.786
Accuracy (185): 0.788
Accuracy (186): 0.789
Accuracy (187): 0.787
Accuracy (188): 0.787
Accuracy (189): 0.78
Accuracy (190): 0.79
Accuracy (191): 0.785
Accuracy (192): 0.791
Accuracy (193): 0.784
Accuracy (194): 0.787
Accuracy (195): 0.782
Accuracy (196): 0.783
Accuracy (197): 0.783
Accuracy (198): 0.789
Accuracy (199): 0.787
Predicted   0    1    2   3   4   5   6    7   8    9   All
Actual                                                     
0          74    1    3   1   2   3   2    1   4    0    91
1           0  116    0   1   1   0   1    2   3    1   125
2           1    3   91   1   1   2   3    1   0    1   104
3           3    8   10  68   1   5   0    1   2    3   101
4           1    2    0   0  76   0   3    3   1   10    96
5           6    3    5  10   4  64   3    3   4    0   102
6           2    2    1   1   2   1  66    0   1    0    76
7           0    2    5   3   0   0   0   85   1    3    99
8           1    5    0   5   2   5   1    5  69    2    95
9           1    2    1   1   6   1   0    9   5   85   111
All        89  144  116  91  95  81  79  110  90  105  1000

correctly predicted 794
out of 1000

Indices of wrong images: [3, 5, 6, 9, 13, 15, 19, 24, 25, 43, 51, 53, 55, 60, 66, 68, 72, 75, 77, 88, 89, 98, 99, 104, 107, 109, 116, 121, 125, 128, 132, 136, 138, 140, 143, 152, 163, 168, 169, 171, 174, 183, 185, 189, 190, 192, 197, 200, 201, 209, 215, 226, 227, 230, 237, 249, 252, 266, 269, 283, 285, 287, 289, 296, 306, 311, 316, 319, 323, 324, 326, 337, 340, 343, 346, 352, 353, 359, 362, 364, 369, 383, 384, 396, 403, 412, 413, 417, 418, 420, 421, 426, 429, 430, 431, 432, 441, 442, 453, 457, 464, 466, 473, 477, 482, 488, 494, 497, 500, 511, 515, 520, 524, 530, 531, 535, 541, 542, 545, 563, 566, 572, 573, 576, 578, 579, 581, 583, 599, 602, 608, 623, 628, 629, 630, 645, 646, 647, 657, 663, 672, 675, 677, 688, 695, 700, 704, 710, 712, 716, 717, 732, 733, 735, 739, 745, 746, 750, 757, 762, 773, 775, 776, 778, 780, 783, 786, 789, 800, 806, 818, 823, 825, 841, 859, 860, 874, 875, 878, 879, 880, 883, 886, 888, 890, 893, 894, 902, 905, 911, 919, 922, 923, 929, 939, 942, 944, 957, 962, 966, 972, 978, 983, 985, 989, 998]
