cnn only run
iters per epoch: 50
number of epochs 300

Accuracy (0): 0.09
Accuracy (1): 0.119
Accuracy (2): 0.285
Accuracy (3): 0.389
Accuracy (4): 0.438
Accuracy (5): 0.465
Accuracy (6): 0.493
Accuracy (7): 0.53
Accuracy (8): 0.546
Accuracy (9): 0.582
Accuracy (10): 0.606
Accuracy (11): 0.627
Accuracy (12): 0.636
Accuracy (13): 0.662
Accuracy (14): 0.7
Accuracy (15): 0.708
Accuracy (16): 0.73
Accuracy (17): 0.735
Accuracy (18): 0.746
Accuracy (19): 0.745
Accuracy (20): 0.755
Accuracy (21): 0.762
Accuracy (22): 0.774
Accuracy (23): 0.781
Accuracy (24): 0.781
Accuracy (25): 0.776
Accuracy (26): 0.793
Accuracy (27): 0.793
Accuracy (28): 0.796
Accuracy (29): 0.809
Accuracy (30): 0.802
Accuracy (31): 0.806
Accuracy (32): 0.807
Accuracy (33): 0.82
Accuracy (34): 0.815
Accuracy (35): 0.818
Accuracy (36): 0.809
Accuracy (37): 0.819
Accuracy (38): 0.824
Accuracy (39): 0.833
Accuracy (40): 0.821
Accuracy (41): 0.822
Accuracy (42): 0.82
Accuracy (43): 0.818
Accuracy (44): 0.815
Accuracy (45): 0.819
Accuracy (46): 0.826
Accuracy (47): 0.821
Accuracy (48): 0.823
Accuracy (49): 0.818
Accuracy (50): 0.815
Accuracy (51): 0.817
Accuracy (52): 0.813
Accuracy (53): 0.808
Accuracy (54): 0.8
Accuracy (55): 0.814
Accuracy (56): 0.81
Accuracy (57): 0.806
Accuracy (58): 0.804
Accuracy (59): 0.812
Accuracy (60): 0.815
Accuracy (61): 0.806
Accuracy (62): 0.812
Accuracy (63): 0.811
Accuracy (64): 0.81
Accuracy (65): 0.804
Accuracy (66): 0.811
Accuracy (67): 0.812
Accuracy (68): 0.809
Accuracy (69): 0.809
Accuracy (70): 0.807
Accuracy (71): 0.814
Accuracy (72): 0.811
Accuracy (73): 0.808
Accuracy (74): 0.801
Accuracy (75): 0.806
Accuracy (76): 0.806
Accuracy (77): 0.808
Accuracy (78): 0.811
Accuracy (79): 0.807
Accuracy (80): 0.805
Accuracy (81): 0.817
Accuracy (82): 0.82
Accuracy (83): 0.82
Accuracy (84): 0.815
Accuracy (85): 0.808
Accuracy (86): 0.809
