cnn only run
Accuracy (87): 0.813
Accuracy (88): 0.813
Accuracy (89): 0.815
Accuracy (90): 0.81
Accuracy (91): 0.811
Accuracy (92): 0.805
Accuracy (93): 0.813
Accuracy (94): 0.806
Accuracy (95): 0.806
Accuracy (96): 0.816
Accuracy (97): 0.817
Accuracy (98): 0.808
Accuracy (99): 0.803
Accuracy (100): 0.807
Accuracy (101): 0.806
Accuracy (102): 0.807
Accuracy (103): 0.816
Accuracy (104): 0.808
Accuracy (105): 0.804
Accuracy (106): 0.811
Accuracy (107): 0.807
Accuracy (108): 0.811
Accuracy (109): 0.809
Accuracy (110): 0.803
Accuracy (111): 0.808
Accuracy (112): 0.808
Accuracy (113): 0.813
Accuracy (114): 0.814
Accuracy (115): 0.812
Accuracy (116): 0.814
Accuracy (117): 0.808
Accuracy (118): 0.804
Accuracy (119): 0.81
Accuracy (120): 0.812
Accuracy (121): 0.818
Accuracy (122): 0.814
Accuracy (123): 0.804
Accuracy (124): 0.814
Accuracy (125): 0.799
Accuracy (126): 0.814
Accuracy (127): 0.808
Accuracy (128): 0.819
Accuracy (129): 0.817
Accuracy (130): 0.799
Accuracy (131): 0.806
Accuracy (132): 0.806
Accuracy (133): 0.802
Accuracy (134): 0.816
Accuracy (135): 0.808
Accuracy (136): 0.811
Accuracy (137): 0.802
Accuracy (138): 0.799
Accuracy (139): 0.799
Accuracy (140): 0.799
Accuracy (141): 0.794
Accuracy (142): 0.802
Accuracy (143): 0.802
Accuracy (144): 0.799
Accuracy (145): 0.801
Accuracy (146): 0.809
Accuracy (147): 0.799
Accuracy (148): 0.8
Accuracy (149): 0.812
Accuracy (150): 0.808
Accuracy (151): 0.8
Accuracy (152): 0.803
Accuracy (153): 0.803
Accuracy (154): 0.792
Accuracy (155): 0.806
Accuracy (156): 0.8
Accuracy (157): 0.796
Accuracy (158): 0.801
Accuracy (159): 0.803
Accuracy (160): 0.805
Accuracy (161): 0.809
Accuracy (162): 0.812
Accuracy (163): 0.809
Accuracy (164): 0.797
Accuracy (165): 0.811
Accuracy (166): 0.803
Accuracy (167): 0.799
Accuracy (168): 0.817
Accuracy (169): 0.802
Accuracy (170): 0.811
Accuracy (171): 0.807
Accuracy (172): 0.81
Accuracy (173): 0.811
Accuracy (174): 0.802
Accuracy (175): 0.801
Accuracy (176): 0.806
Accuracy (177): 0.803
Accuracy (178): 0.805
Accuracy (179): 0.799
Accuracy (180): 0.808
Accuracy (181): 0.797
Accuracy (182): 0.815
Accuracy (183): 0.805
Accuracy (184): 0.806
Accuracy (185): 0.798
Accuracy (186): 0.81
Accuracy (187): 0.791
Accuracy (188): 0.797
Accuracy (189): 0.81
Accuracy (190): 0.811
Accuracy (191): 0.81
Accuracy (192): 0.803
Accuracy (193): 0.81
Accuracy (194): 0.816
Accuracy (195): 0.803
Accuracy (196): 0.803
Accuracy (197): 0.798
Accuracy (198): 0.804
Accuracy (199): 0.806
Accuracy (200): 0.799
Accuracy (201): 0.806
Accuracy (202): 0.81
Accuracy (203): 0.811
Accuracy (204): 0.809
Accuracy (205): 0.809
Accuracy (206): 0.81
Accuracy (207): 0.812
Accuracy (208): 0.801
Accuracy (209): 0.8
Accuracy (210): 0.81
Accuracy (211): 0.808
Accuracy (212): 0.799
Accuracy (213): 0.808
Accuracy (214): 0.823
Accuracy (215): 0.808
Accuracy (216): 0.816
Accuracy (217): 0.806
Accuracy (218): 0.806
Accuracy (219): 0.809
Accuracy (220): 0.799
Accuracy (221): 0.812
Accuracy (222): 0.816
Accuracy (223): 0.8
Accuracy (224): 0.803
Accuracy (225): 0.807
Accuracy (226): 0.801
Accuracy (227): 0.809
Accuracy (228): 0.802
Accuracy (229): 0.803
Accuracy (230): 0.808
Accuracy (231): 0.816
Accuracy (232): 0.804
Accuracy (233): 0.798
Accuracy (234): 0.825
Accuracy (235): 0.807
Accuracy (236): 0.808
Accuracy (237): 0.807
Accuracy (238): 0.797
Accuracy (239): 0.813
Accuracy (240): 0.795
Accuracy (241): 0.813
Accuracy (242): 0.816
Accuracy (243): 0.819
Accuracy (244): 0.803
Accuracy (245): 0.799
Accuracy (246): 0.809
Accuracy (247): 0.809
Accuracy (248): 0.811
Accuracy (249): 0.802
Accuracy (250): 0.807
Accuracy (251): 0.802
Accuracy (252): 0.809
Accuracy (253): 0.811
Accuracy (254): 0.809
Accuracy (255): 0.804
Accuracy (256): 0.808
Accuracy (257): 0.811
Accuracy (258): 0.793
Accuracy (259): 0.805
Accuracy (260): 0.803
Accuracy (261): 0.808
Accuracy (262): 0.786
Accuracy (263): 0.804
Accuracy (264): 0.806
Accuracy (265): 0.814
Accuracy (266): 0.81
Accuracy (267): 0.802
Accuracy (268): 0.808
Accuracy (269): 0.799
Accuracy (270): 0.801
Accuracy (271): 0.803
Accuracy (272): 0.806
Accuracy (273): 0.81
Accuracy (274): 0.806
Accuracy (275): 0.801
Accuracy (276): 0.804
Accuracy (277): 0.789
Accuracy (278): 0.8
Accuracy (279): 0.801
Accuracy (280): 0.804
Accuracy (281): 0.796
Accuracy (282): 0.805
Accuracy (283): 0.805
Accuracy (284): 0.798
Accuracy (285): 0.804
Accuracy (286): 0.803
Accuracy (287): 0.803
Accuracy (288): 0.793
Accuracy (289): 0.812
Accuracy (290): 0.799
Accuracy (291): 0.796
Accuracy (292): 0.794
Accuracy (293): 0.799
Accuracy (294): 0.813
Accuracy (295): 0.807
Accuracy (296): 0.804
Accuracy (297): 0.795
Accuracy (298): 0.801
Accuracy (299): 0.805
Predicted   0    1    2   3   4   5   6    7    8    9   All
Actual                                                      
0          78    1    2   0   2   0   4    2    1    1    91
1           0  115    2   0   2   0   3    3    0    0   125
2           1    1   88   5   0   1   4    1    2    1   104
3           2    0    4  77   1   3   0    2    9    3   101
4           0    3    2   0  75   0   3    2    2    9    96
5           4    3    1   4   0  73   2    1    7    7   102
6           1    0    1   0   4   4  64    0    2    0    76
7           2    0    2   0   2   2   0   86    0    5    99
8           1    1    4   2   0   2   1    4   76    4    95
9           2    1    0   0   3   2   0    8    4   91   111
All        91  125  106  88  89  87  81  109  103  121  1000

correctly predicted 823
out of 1000

Indices of wrong images: [5, 8, 13, 15, 25, 38, 50, 53, 55, 60, 64, 68, 72, 75, 98, 117, 121, 123, 136, 137, 140, 143, 152, 153, 157, 169, 174, 183, 185, 189, 199, 209, 215, 216, 220, 227, 230, 237, 241, 255, 268, 281, 285, 288, 289, 296, 300, 301, 312, 316, 319, 326, 337, 340, 346, 353, 362, 369, 376, 384, 385, 396, 405, 411, 413, 418, 420, 421, 424, 426, 429, 430, 441, 443, 447, 451, 461, 463, 464, 466, 467, 473, 477, 481, 488, 493, 496, 497, 515, 517, 518, 520, 543, 546, 551, 563, 566, 572, 573, 576, 578, 581, 583, 590, 602, 604, 606, 608, 610, 628, 630, 633, 643, 645, 646, 647, 649, 657, 663, 673, 684, 687, 688, 695, 698, 710, 716, 718, 724, 730, 739, 744, 745, 747, 750, 752, 757, 775, 776, 778, 785, 789, 791, 801, 802, 806, 810, 823, 829, 835, 841, 849, 857, 859, 865, 866, 867, 871, 874, 875, 886, 890, 899, 901, 910, 915, 919, 922, 939, 942, 943, 956, 957, 962, 983, 985, 998]
