cnn only run
iters per epoch: 50
number of epochs 400

Accuracy (0): 0.09
Accuracy (1): 0.119
Accuracy (2): 0.122
Accuracy (3): 0.197
Accuracy (4): 0.286
Accuracy (5): 0.346
Accuracy (6): 0.426
Accuracy (7): 0.462
Accuracy (8): 0.503
Accuracy (9): 0.526
Accuracy (10): 0.55
Accuracy (11): 0.567
Accuracy (12): 0.583
Accuracy (13): 0.604
Accuracy (14): 0.61
Accuracy (15): 0.612
Accuracy (16): 0.628
Accuracy (17): 0.636
Accuracy (18): 0.646
Accuracy (19): 0.65
Accuracy (20): 0.659
Accuracy (21): 0.666
Accuracy (22): 0.668
Accuracy (23): 0.683
Accuracy (24): 0.685
Accuracy (25): 0.686
Accuracy (26): 0.689
Accuracy (27): 0.694
Accuracy (28): 0.697
Accuracy (29): 0.696
Accuracy (30): 0.709
Accuracy (31): 0.713
Accuracy (32): 0.713
Accuracy (33): 0.715
Accuracy (34): 0.72
Accuracy (35): 0.722
Accuracy (36): 0.725
Accuracy (37): 0.724
Accuracy (38): 0.729
Accuracy (39): 0.73
Accuracy (40): 0.735
Accuracy (41): 0.733
Accuracy (42): 0.733
Accuracy (43): 0.737
Accuracy (44): 0.737
Accuracy (45): 0.735
Accuracy (46): 0.737
Accuracy (47): 0.742
Accuracy (48): 0.736
Accuracy (49): 0.74
Accuracy (50): 0.743
Accuracy (51): 0.743
Accuracy (52): 0.744
Accuracy (53): 0.743
Accuracy (54): 0.75
Accuracy (55): 0.75
Accuracy (56): 0.754
Accuracy (57): 0.753
Accuracy (58): 0.756
Accuracy (59): 0.754
Accuracy (60): 0.755
Accuracy (61): 0.756
Accuracy (62): 0.758
Accuracy (63): 0.756
Accuracy (64): 0.76
Accuracy (65): 0.762
Accuracy (66): 0.759
Accuracy (67): 0.761
Accuracy (68): 0.764
Accuracy (69): 0.764
Accuracy (70): 0.76
Accuracy (71): 0.763
Accuracy (72): 0.767
Accuracy (73): 0.765
Accuracy (74): 0.761
Accuracy (75): 0.764
Accuracy (76): 0.768
Accuracy (77): 0.766
Accuracy (78): 0.771
Accuracy (79): 0.765
Accuracy (80): 0.765
Accuracy (81): 0.771
Accuracy (82): 0.766
Accuracy (83): 0.768
Accuracy (84): 0.773
Accuracy (85): 0.769
Accuracy (86): 0.775
Accuracy (87): 0.769
Accuracy (88): 0.767
Accuracy (89): 0.77
Accuracy (90): 0.771
Accuracy (91): 0.765
Accuracy (92): 0.771
Accuracy (93): 0.771
Accuracy (94): 0.77
Accuracy (95): 0.77
Accuracy (96): 0.77
Accuracy (97): 0.77
Accuracy (98): 0.768
Accuracy (99): 0.77
Accuracy (100): 0.768
Accuracy (101): 0.769
Accuracy (102): 0.773
Accuracy (103): 0.776
Accuracy (104): 0.777
Accuracy (105): 0.766
Accuracy (106): 0.769
Accuracy (107): 0.765
Accuracy (108): 0.772
Accuracy (109): 0.775
Accuracy (110): 0.771
Accuracy (111): 0.773
Accuracy (112): 0.776
Accuracy (113): 0.777
Accuracy (114): 0.773
Accuracy (115): 0.774
Accuracy (116): 0.774
Accuracy (117): 0.775
Accuracy (118): 0.77
Accuracy (119): 0.777
Accuracy (120): 0.769
Accuracy (121): 0.771
Accuracy (122): 0.77
Accuracy (123): 0.772
Accuracy (124): 0.774
Accuracy (125): 0.776
Accuracy (126): 0.77
Accuracy (127): 0.771
Accuracy (128): 0.779
Accuracy (129): 0.778
Accuracy (130): 0.786
Accuracy (131): 0.774
Accuracy (132): 0.779
Accuracy (133): 0.778
Accuracy (134): 0.776
Accuracy (135): 0.779
Accuracy (136): 0.775
Accuracy (137): 0.782
Accuracy (138): 0.78
Accuracy (139): 0.786
Accuracy (140): 0.781
Accuracy (141): 0.779
Accuracy (142): 0.779
Accuracy (143): 0.786
Accuracy (144): 0.784
Accuracy (145): 0.782
Accuracy (146): 0.779
Accuracy (147): 0.783
Accuracy (148): 0.782
Accuracy (149): 0.781
Accuracy (150): 0.786
Accuracy (151): 0.784
Accuracy (152): 0.777
Accuracy (153): 0.78
Accuracy (154): 0.781
Accuracy (155): 0.782
Accuracy (156): 0.784
Accuracy (157): 0.781
Accuracy (158): 0.775
Accuracy (159): 0.788
Accuracy (160): 0.783
Accuracy (161): 0.781
Accuracy (162): 0.788
Accuracy (163): 0.781
Accuracy (164): 0.781
Accuracy (165): 0.783
Accuracy (166): 0.792
Accuracy (167): 0.788
Accuracy (168): 0.782
Accuracy (169): 0.783
Accuracy (170): 0.78
Accuracy (171): 0.784
