cnn only run
iters per epoch: 50
number of epochs 500

Accuracy (0): 0.119
Accuracy (1): 0.194
Accuracy (2): 0.364
Accuracy (3): 0.43
Accuracy (4): 0.494
Accuracy (5): 0.528
Accuracy (6): 0.584
Accuracy (7): 0.615
Accuracy (8): 0.65
Accuracy (9): 0.686
Accuracy (10): 0.706
Accuracy (11): 0.717
Accuracy (12): 0.735
Accuracy (13): 0.746
Accuracy (14): 0.754
Accuracy (15): 0.764
Accuracy (16): 0.77
Accuracy (17): 0.784
Accuracy (18): 0.789
Accuracy (19): 0.793
Accuracy (20): 0.795
Accuracy (21): 0.794
Accuracy (22): 0.802
Accuracy (23): 0.814
Accuracy (24): 0.805
Accuracy (25): 0.813
Accuracy (26): 0.813
Accuracy (27): 0.811
Accuracy (28): 0.814
Accuracy (29): 0.81
Accuracy (30): 0.811
Accuracy (31): 0.821
Accuracy (32): 0.824
Accuracy (33): 0.821
Accuracy (34): 0.819
Accuracy (35): 0.817
Accuracy (36): 0.808
Accuracy (37): 0.805
Accuracy (38): 0.81
Accuracy (39): 0.815
Accuracy (40): 0.812
Accuracy (41): 0.813
Accuracy (42): 0.818
Accuracy (43): 0.817
Accuracy (44): 0.822
Accuracy (45): 0.824
Accuracy (46): 0.823
Accuracy (47): 0.811
Accuracy (48): 0.821
Accuracy (49): 0.822
Accuracy (50): 0.827
Accuracy (51): 0.83
Accuracy (52): 0.83
Accuracy (53): 0.826
Accuracy (54): 0.831
Accuracy (55): 0.826
Accuracy (56): 0.838
Accuracy (57): 0.827
Accuracy (58): 0.831
Accuracy (59): 0.838
Accuracy (60): 0.83
Accuracy (61): 0.827
Accuracy (62): 0.823
Accuracy (63): 0.823
Accuracy (64): 0.825
Accuracy (65): 0.824
Accuracy (66): 0.824
Accuracy (67): 0.827
Accuracy (68): 0.827
Accuracy (69): 0.828
Accuracy (70): 0.819
Accuracy (71): 0.828
Accuracy (72): 0.818
Accuracy (73): 0.825
Accuracy (74): 0.823
Accuracy (75): 0.828
Accuracy (76): 0.82
Accuracy (77): 0.827
Accuracy (78): 0.818
Accuracy (79): 0.817
Accuracy (80): 0.822
Accuracy (81): 0.82
Accuracy (82): 0.821
Accuracy (83): 0.821
Accuracy (84): 0.808
Accuracy (85): 0.832
Accuracy (86): 0.816
Accuracy (87): 0.822
Accuracy (88): 0.818
Accuracy (89): 0.822
Accuracy (90): 0.829
Accuracy (91): 0.83
Accuracy (92): 0.82
Accuracy (93): 0.813
Accuracy (94): 0.818
Accuracy (95): 0.824
Accuracy (96): 0.825
Accuracy (97): 0.819
Accuracy (98): 0.827
Accuracy (99): 0.824
Accuracy (100): 0.813
Accuracy (101): 0.828
Accuracy (102): 0.822
Accuracy (103): 0.816
Accuracy (104): 0.832
Accuracy (105): 0.809
Accuracy (106): 0.822
Accuracy (107): 0.816
Accuracy (108): 0.821
Accuracy (109): 0.818
Accuracy (110): 0.826
Accuracy (111): 0.816
Accuracy (112): 0.823
Accuracy (113): 0.828
Accuracy (114): 0.818
Accuracy (115): 0.821
Accuracy (116): 0.817
Accuracy (117): 0.826
Accuracy (118): 0.815
Accuracy (119): 0.824
Accuracy (120): 0.831
Accuracy (121): 0.829
Accuracy (122): 0.824
Accuracy (123): 0.821
Accuracy (124): 0.82
Accuracy (125): 0.816
Accuracy (126): 0.816
Accuracy (127): 0.817
Accuracy (128): 0.823
Accuracy (129): 0.82
Accuracy (130): 0.824
Accuracy (131): 0.825
Accuracy (132): 0.822
Accuracy (133): 0.82
Accuracy (134): 0.822
Accuracy (135): 0.822
Accuracy (136): 0.825
Accuracy (137): 0.821
Accuracy (138): 0.81
Accuracy (139): 0.821
Accuracy (140): 0.829
Accuracy (141): 0.819
Accuracy (142): 0.817
Accuracy (143): 0.818
Accuracy (144): 0.812
Accuracy (145): 0.827
Accuracy (146): 0.823
Accuracy (147): 0.824
Accuracy (148): 0.821
Accuracy (149): 0.818
Accuracy (150): 0.822
Accuracy (151): 0.822
Accuracy (152): 0.82
Accuracy (153): 0.815
Accuracy (154): 0.821
Accuracy (155): 0.817
Accuracy (156): 0.828
Accuracy (157): 0.824
Accuracy (158): 0.82
Accuracy (159): 0.815
Accuracy (160): 0.819
Accuracy (161): 0.827
Accuracy (162): 0.82
Accuracy (163): 0.819
Accuracy (164): 0.825
Accuracy (165): 0.817
Accuracy (166): 0.819
Accuracy (167): 0.82
Accuracy (168): 0.815
Accuracy (169): 0.816
Accuracy (170): 0.823
Accuracy (171): 0.813
Accuracy (172): 0.817
Accuracy (173): 0.815
Accuracy (174): 0.824
Accuracy (175): 0.814
Accuracy (176): 0.825
Accuracy (177): 0.821
Accuracy (178): 0.82
Accuracy (179): 0.819
Accuracy (180): 0.828
Accuracy (181): 0.826
Accuracy (182): 0.827
Accuracy (183): 0.814
Accuracy (184): 0.821
Accuracy (185): 0.824
Accuracy (186): 0.823
Accuracy (187): 0.822
Accuracy (188): 0.825
Accuracy (189): 0.818
Accuracy (190): 0.822
Accuracy (191): 0.826
Accuracy (192): 0.818
Accuracy (193): 0.821
Accuracy (194): 0.828
Accuracy (195): 0.818
Accuracy (196): 0.828
Accuracy (197): 0.821
Accuracy (198): 0.823
Accuracy (199): 0.834
Accuracy (200): 0.826
Accuracy (201): 0.819
Accuracy (202): 0.823
Accuracy (203): 0.834
Accuracy (204): 0.822
Accuracy (205): 0.832
Accuracy (206): 0.83
Accuracy (207): 0.82
Accuracy (208): 0.831
Accuracy (209): 0.815
Accuracy (210): 0.818
Accuracy (211): 0.818
Accuracy (212): 0.819
Accuracy (213): 0.819
Accuracy (214): 0.816
Accuracy (215): 0.818
Accuracy (216): 0.816
Accuracy (217): 0.817
Accuracy (218): 0.826
Accuracy (219): 0.823
Accuracy (220): 0.832
Accuracy (221): 0.817
Accuracy (222): 0.821
Accuracy (223): 0.821
Accuracy (224): 0.814
Accuracy (225): 0.833
Accuracy (226): 0.813
Accuracy (227): 0.801
Accuracy (228): 0.815
Accuracy (229): 0.822
Accuracy (230): 0.834
Accuracy (231): 0.825
Accuracy (232): 0.817
Accuracy (233): 0.825
Accuracy (234): 0.82
Accuracy (235): 0.827
Accuracy (236): 0.824
Accuracy (237): 0.827
Accuracy (238): 0.817
Accuracy (239): 0.82
Accuracy (240): 0.811
Accuracy (241): 0.824
Accuracy (242): 0.812
Accuracy (243): 0.81
Accuracy (244): 0.832
Accuracy (245): 0.818
Accuracy (246): 0.829
Accuracy (247): 0.823
Accuracy (248): 0.823
Accuracy (249): 0.811
Accuracy (250): 0.827
Accuracy (251): 0.822
Accuracy (252): 0.813
Accuracy (253): 0.818
Accuracy (254): 0.81
Accuracy (255): 0.819
Accuracy (256): 0.821
