cnn only run
iters per epoch: 50
number of epochs 300

Accuracy (0): 0.119
Accuracy (1): 0.119
Accuracy (2): 0.242
Accuracy (3): 0.332
Accuracy (4): 0.401
Accuracy (5): 0.441
Accuracy (6): 0.471
Accuracy (7): 0.496
Accuracy (8): 0.511
Accuracy (9): 0.53
Accuracy (10): 0.534
Accuracy (11): 0.555
Accuracy (12): 0.579
Accuracy (13): 0.601
Accuracy (14): 0.62
Accuracy (15): 0.636
Accuracy (16): 0.654
Accuracy (17): 0.667
Accuracy (18): 0.687
Accuracy (19): 0.708
Accuracy (20): 0.716
Accuracy (21): 0.728
Accuracy (22): 0.743
Accuracy (23): 0.744
Accuracy (24): 0.747
Accuracy (25): 0.755
Accuracy (26): 0.763
Accuracy (27): 0.763
Accuracy (28): 0.761
Accuracy (29): 0.768
Accuracy (30): 0.768
Accuracy (31): 0.775
Accuracy (32): 0.773
Accuracy (33): 0.776
Accuracy (34): 0.776
Accuracy (35): 0.78
Accuracy (36): 0.789
Accuracy (37): 0.792
Accuracy (38): 0.79
Accuracy (39): 0.801
Accuracy (40): 0.801
Accuracy (41): 0.794
Accuracy (42): 0.801
Accuracy (43): 0.803
Accuracy (44): 0.799
Accuracy (45): 0.8
Accuracy (46): 0.803
Accuracy (47): 0.805
Accuracy (48): 0.813
Accuracy (49): 0.815
Accuracy (50): 0.813
Accuracy (51): 0.815
Accuracy (52): 0.815
Accuracy (53): 0.81
Accuracy (54): 0.807
Accuracy (55): 0.817
Accuracy (56): 0.814
Accuracy (57): 0.812
Accuracy (58): 0.81
Accuracy (59): 0.801
Accuracy (60): 0.805
Accuracy (61): 0.811
Accuracy (62): 0.806
Accuracy (63): 0.796
Accuracy (64): 0.815
Accuracy (65): 0.812
Accuracy (66): 0.808
Accuracy (67): 0.802
Accuracy (68): 0.8
Accuracy (69): 0.8
Accuracy (70): 0.798
Accuracy (71): 0.805
Accuracy (72): 0.801
Accuracy (73): 0.805
Accuracy (74): 0.808
Accuracy (75): 0.808
Accuracy (76): 0.802
Accuracy (77): 0.814
Accuracy (78): 0.812
Accuracy (79): 0.815
Accuracy (80): 0.815
Accuracy (81): 0.816
Accuracy (82): 0.815
Accuracy (83): 0.82
Accuracy (84): 0.811
Accuracy (85): 0.816
Accuracy (86): 0.81
